pickup point,last part
"""zaman tower , h 37. 2, culvert rd, fakirapool""","""fakirapool"""
"""avenue 2 , road 12, h 875, mirpur""","""mirpur"""
"""topia sharuba,280,d block 9 no road,block d,basundhara r/a""","""basundhara r/a"""
"""sofia garden , 666 & 667 , block f road 21,  bashundhara r/a""","""bashundhara r/a"""
"""tashpia kazi tower,road 9,block m,banasree""","""banasree"""
"""dr. sinthia consultant - clinical & aesthetic dermatology , gulshan 2, gulshan""","""gulshan"""
"""road no. 22, basundhara r/a""","""basundhara r/a"""
"""an ark nepal house,house 11,lane 11/1,block b,section 10,mirpur,dhaka 1216""","""dhaka 1216"""
"""h 37/l, rd 3, block d, bashundhara r/a""","""bashundhara r/a"""
"""homeland mahabub palace , house 295/a sayem sobhan anvir road, block c , bashundhara r/a""","""bashundhara r/a"""
"""exclusive apartment,384,al haj abdus sobhas road,block b,basundhara r/a""","""basundhara r/a"""
"""uttara engineering college,paper mill road,abdullahpur,uttara""","""uttara"""
"""rahman chember, toyenbee road, banglabhaban area, hatkhola""","""hatkhola"""
"""uttara north metro rail station,dhaka""","""dhaka"""
"""emon,h 28/a,rd 1,mohammadi housing ltd,mohammadpur""","""mohammadpur"""
"""the majstic , adhunik hospital road, section 12""","""section 12"""
"""faruk general store,h 8/15,rd 1,block c,lalmatia""","""lalmatia"""
"""hazrat shahjalal international airport, kurmitola""","""kurmitola"""
"""united hospital limited cafe,road 72,gulshan 2,gulshan""","""gulshan"""
"""apollo hospital , h 81 , sayem sobhan anvir rd, block e , bashundhara r/a""","""bashundhara r/a"""
"""trauma center & ao orthopadic hospital,shyamoli,mohammadpur""","""mohammadpur"""
"""rd,mirpur 1""","""mirpur 1"""
"""salina hit's , 39/3, road 2, section 12""","""section 12"""
"""dhaka airport railway station""","""dhaka airport railway station"""
"""aiub campus, kuratali, khilkhet , bashundhara r/a""","""bashundhara r/a"""
"""dica tex limited,house 62,road 18,sector 11,uttara""","""uttara"""
"""golden tulip the grandmark dhaka, block h, banani""","""banani"""
"""house 51,road 16,sector 14,uttara""","""uttara"""
"""m/s  maa bedding store , h 228, green rd""","""green rd"""
"""sn palace,h 696,rd 21,block f,basundhara r/a""","""basundhara r/a"""
"""new al imam hotel and restaurant, h 1, toyenbee circular rd, fakirapool""","""fakirapool"""
"""tribute homes , 35, road 114, gulshan 2 , gulshan""","""gulshan"""
"""house 2,road 15,block d,banani,dhaka""","""dhaka"""
"""titas par international,house 484,road 32,mohakhali dohs,mohakhali""","""mohakhali"""
"""gulshan police checkpost, gulshan  avenue, gulshan  2, gulshan""","""gulshan"""
"""lurashna , h 394 395 , rd 21, block g , basundhara r/a""","""basundhara r/a"""
"""hurdaco international school,rd 2,block a,basundhara r/a""","""basundhara r/a"""
"""irri , h 103, rd 1,banani""","""banani"""
"""dish & dessert , block c , banani""","""banani"""
"""asoi-jv ( technical ), banani dohs""","""banani dohs"""
"""darmaesthetics skin & laser centre, sector  13, uttara""","""uttara"""
"""inspira advisory and consulting ltd , gulshan 1 , gulshan""","""gulshan"""
"""mirpur stadium market , milk vita road , section 6""","""section 6"""
"""ln 5 , mohakhali dohs""","""mohakhali dohs"""
"""united hospital , rd 72 , gulshan 2""","""gulshan 2"""
"""air ambulance and stretcher services on commercial airlines , kemal ataturk avenue , banani""","""banani"""
"""house 37 , lake driver road , sector 7,  uttara""","""uttara"""
"""shornali , road 2/a , house 08 , block f , banani""","""banani"""
"""apurba  apsora gardenia ,530, block f road 17 , bashundhara r/a""","""bashundhara r/a"""
"""plot 647 , rd 3, block g , basundhara r/a""","""basundhara r/a"""
"""brac bank ltd , gulshan ave , gulshan 2""","""gulshan 2"""
"""gemini shopping center , kemal ataturk avenue , banani""","""banani"""
"""298, block road 1 , basundhara r/a""","""basundhara r/a"""
"""898, road no. 17, basundhara r/a""","""basundhara r/a"""
"""canadian university of bangladesh , 99 , road 11, banani""","""banani"""
"""mayabi sharmin , house 274 , al haj abdus  sobhan road , block  b , basundhara r/a""","""basundhara r/a"""
"""bashat architects engineers , block f , banani""","""banani"""
"""h 319, akbar rd, block  d, bashundhara r/a""","""bashundhara r/a"""
"""dbbl fast track , block f , banasree""","""banasree"""
"""milima , 164, road 4, block d, bashundhara r/a""","""bashundhara r/a"""
"""rd 3, turag city , mirpur 1""","""mirpur 1"""
"""techniche consulting services bd, road 01, block f, banani""","""banani"""
"""70/d,  dolphin goli, dhanmondi""","""dhanmondi"""
"""6 , road 4, nikunja 2""","""nikunja 2"""
"""h 119/2, kazi office ln, siddheswari""","""siddheswari"""
"""road no. 14 , block a , basundhara r/a""","""basundhara r/a"""
"""shwapno , residential area, dhanmondi 27""","""dhanmondi 27"""
"""lake side , 31, road 28 ( new 15 ) , dhanmondi r/a""","""dhanmondi r/a"""
"""ramna ps , sahid capten munsur ali avenue, wireless, paltan""","""paltan"""
"""pharmacy , rd 9 , mirpur dohs""","""mirpur dohs"""
"""h 848, rd 19, block g , bashundhara r/a""","""bashundhara r/a"""
"""bashundhara purbachal link rd , block j , basundhara r/a""","""basundhara r/a"""
"""kalachandpur main road , baridhara, gulshan""","""gulshan"""
"""gloria jeans coffee, road 71, gulshan 2, gulshan""","""gulshan"""
"""road 20 , kotbari bazaar , sector 7""","""sector 7"""
"""hongkong shanghai tower, h108, rd 11, banani""","""banani"""
"""shanghai chinese cafe , rd 11 , banani""","""banani"""
"""469, road no. 7, basundhara r/a""","""basundhara r/a"""
"""abdus sattar,28,section 2""","""section 2"""
"""obsterical & gynaecological society of bangladesh hospital(ogsb hospital)section 13,mirpur""","""mirpur"""
"""bishmillah ,06 , road 1 , block d , basundhara r/a""","""basundhara r/a"""
"""maliha apartments,plot 24,senpara parbata,mirpur 10""","""mirpur 10"""
"""priyo neer , h 13/a , eskaton garden rd, old eskaton""","""old eskaton"""
"""party pizza house,mohammadpur,adabor""","""adabor"""
"""riz park, adabar, mohammadpur""","""mohammadpur"""
"""the prestige magazine , house 47 , road 11 , block h , banani""","""banani"""
"""north end cofee roasters evercare hospital,block e,bashundhara r/a""","""bashundhara r/a"""
"""house 28,road 8,sector 12,uttara""","""uttara"""
"""setara begum, h 104, rd 7, mohammadi housing society, mohammadpur""","""mohammadpur"""
"""domestic terminal  , new airport road , kurmitola , sector  2""","""sector  2"""
"""rd 28,block d,mirpur 10""","""mirpur 10"""
"""3/1 kallyanpur prodhan sarak,notun bazar,mukti housing,moddho paikpara""","""moddho paikpara"""
"""334,i block road 1,basundhara r/a""","""basundhara r/a"""
"""aaa fashion,main road,section 6""","""section 6"""
"""la gustosa kitchen,residential area,dhanmondi""","""dhanmondi"""
"""godule,102,sarak 14,khilkhet,basundhara r/a""","""basundhara r/a"""
"""tulip moonlit,h 333rd 18,banani""","""banani"""
"""azrat shah jalal international airport,dhaka mymensingh higway,azrat shah jalal international airport,kurmitola""","""kurmitola"""
"""sector 8,uttara""","""uttara"""
"""mintu general store,342/a/3,north perebug,mukti housing,moddho paikpara""","""moddho paikpara"""
"""kfc,baily road,natok sarani,gold hunt shopping complex""","""gold hunt shopping complex"""
"""momtaz begum,167/2/b,road 4,janata housing senpara parbata,janata housing""","""janata housing"""
"""arsalam hotel and resturent,14,road 7,dhanmondi""","""dhanmondi"""
"""sorai jame masjid road,jatrabari""","""jatrabari"""
"""railway staff accomodation,dhaka mymensingh highway,kurmitola,sector 1""","""sector 1"""
"""road 3, block d, bashundhara r/a""","""bashundhara r/a"""
"""10,road 1,section 7""","""section 7"""
"""693, road no. 1, bashundhara r/a""","""bashundhara r/a"""
"""duri angul 2nd lane,duri angul lane,nababganj,hazaribagh""","""hazaribagh"""
"""shahid tazuddin ahamed avenue, wireless, niketon""","""niketon"""
"""176/5/1,west kafrul,taltola,west kafrul""","""west kafrul"""
"""24, greenway road , wireless, mogbazar""","""mogbazar"""
"""house 17, block a, wazuddin road""","""wazuddin road"""
"""ismail pharmacy,surtaranga rd,wesr arichpur""","""wesr arichpur"""
"""dutch bangla bank ltd, kalsi rd, mirpur 11""","""mirpur 11"""
