pickup point,last part
"""amin bazar kendrio masjid,dhaka aricha highway""","""dhaka aricha highway"""
"""bangladesh krishi bank,shyamoli rd 1,shyamoli""","""shyamoli"""
"""52/8,boubazar goli,dhanmondi""","""dhanmondi"""
"""dr ataur rahman khan mbbs,md(usa),west rajabazarm,indira road,panthapath""","""panthapath"""
"""new abir pharmacy,green road,dhanmondi""","""dhanmondi"""
"""lempelse,lake circus road,kalabagan""","""kalabagan"""
"""nobab hotel & restaurant,gabtali,mirpur""","""mirpur"""
"""n r cng filling station,dhaka aricha highway""","""dhaka aricha highway"""
"""huque bread & food plaza,adabor,mohammadpur""","""mohammadpur"""
"""studygram,sector 13,uttara""","""uttara"""
"""abacus brain gym uttara,sector 5""","""sector 5"""
"""runazahid,sector 3,uttara""","""uttara"""
"""nargis villa,house 8,road 4,sector 7,uttara""","""uttara"""
"""rd 14,baridhara""","""baridhara"""
"""house 34,road 11,sector 4,uttara""","""uttara"""
"""ship international hospital,bhatuliya,turag""","""turag"""
"""s r furniture,23/g/2,pantha path,dhanmondi""","""dhanmondi"""
"""anis law chamber,h 14,rd 8,block a,mirpur 12""","""mirpur 12"""
"""anam rangs plaza,satmasji rd,dhanmondi""","""dhanmondi"""
"""house 166,block b,road 4,block b, basundhara r/a""","""basundhara r/a"""
"""house 753,road 33,block l,basundhara r/a""","""basundhara r/a"""
"""bhai bon store,middle bashabo""","""middle bashabo"""
"""h 1/a/1,adabor main rd,adabor""","""adabor"""
"""khadem group,shantinagar,kakrail""","""kakrail"""
"""atm booth dutch bangla bank limited,shahbagh,ramna""","""ramna"""
"""farmgate metro rail station,dhaka""","""dhaka"""
"""khan bari vip chatri hostel,farmgate tejturi bazar road,tejturi bazar,tejgaon""","""tejgaon"""
"""h kha,146/4,jamtola rd,kurmitola""","""kurmitola"""
"""institute of water and flood management,palashi rd,lalbagh""","""lalbagh"""
"""atik homes,block d,mirpur 2""","""mirpur 2"""
"""4/7,block d,salimullah road,mohammadpur""","""mohammadpur"""
"""shahid manna masjid,shahid sarani,dhaka cantonment""","""dhaka cantonment"""
"""royal buffet restaurant,h 8/a,rd 4,dhanmondi""","""dhanmondi"""
"""z square,gulshan avenuem,dakkhin badda,gulshan""","""gulshan"""
"""hazrat shahjalal international airport,terminal 1,airport rd,new airport road,kurmitola,sector 2""","""sector 2"""
"""harriot engineering,block b,mirpur 12""","""mirpur 12"""
"""govt bangla college,mirpur 1""","""mirpur 1"""
"""shaheed sergant jahurul haq hall tinshed canteen,dhaka university""","""dhaka university"""
"""panna palace,172,sayem sobhan road,block d,basundhara r/a""","""basundhara r/a"""
"""dhaka airport railway station,dhaka mymensingh highway,kurmitola""","""kurmitola"""
"""s k physiotherapy & stroke rehab center,residential area,dhanmondi""","""dhanmondi"""
"""food + plus snacks corner , hazrat shahjalal international airport , kurmitola""","""kurmitola"""
"""satarkul rd , north badda""","""north badda"""
"""raowa convention hall  , mohakhali""","""mohakhali"""
"""nescafe police plaza coffee shop , hatirjheel""","""hatirjheel"""
"""orchid corner mallika , gulshan 1 gulshan""","""gulshan 1 gulshan"""
"""bank asia , rd 23 , gulshan 2""","""gulshan 2"""
"""customs excise and vat demra division avoy dasln , tikatuli""","""tikatuli"""
"""plot 179 , alhaz abdus sobhan rd , block b , basundhara r/a""","""basundhara r/a"""
"""dhaka cardiac consultation & diagonstic center , station road , tongi""","""tongi"""
"""apt 6b , house 17 , road 6 , block e , niketon , gulshan 1 , dhaka 1212""","""dhaka 1212"""
"""vai vai enterprise h 26 ave 2 mirpur 11""","""vai vai enterprise h 26 ave 2 mirpur 11"""
"""meghna bank limited , 65 , gulshan avenue , gulshan 1 , gulshan""","""gulshan"""
"""h 209/a , sadat sobhan tanvir rd block c , bashundhara r/a""","""bashundhara r/a"""
"""house 13/a , road 4 , banani dohs""","""banani dohs"""
"""unimart gulshan 2 gulshan""","""unimart gulshan 2 gulshan"""
"""rd 4 block a mirpur 12""","""rd 4 block a mirpur 12"""
"""rokeya monzila , 483 , north kafrul road , south kafrul , paschim kafrul""","""paschim kafrul"""
"""runner groip hazrat shahjalal internatioonal airport kurmitola""","""runner groip hazrat shahjalal internatioonal airport kurmitola"""
"""sumon gents , sector 6 uttara""","""sector 6 uttara"""
"""m/s sabbir enterprise , west shewrapara mirpur""","""west shewrapara mirpur"""
"""touch stone terrace , h 29 , rd 9 , banani""","""banani"""
"""ice n sugar block m , banasree""","""banasree"""
"""smanager , mohakhali dohs""","""mohakhali dohs"""
"""kallyanpur  girls school and college  kallyanpur main rd""","""kallyanpur  girls school and college  kallyanpur main rd"""
"""istore , road-24 , gulshan 2 , gulshan""","""gulshan"""
"""doreen hotel & resorts , kemal ataturk avenue , gulshan 2 , gulshan""","""gulshan"""
"""h 235 rd 6 mohammadi housing rd mohammadpur""","""h 235 rd 6 mohammadi housing rd mohammadpur"""
"""narcotics anonymous , block d , banani""","""banani"""
"""dhaka chamber and commerce industry motijheel rd dilkusha""","""dhaka chamber and commerce industry motijheel rd dilkusha"""
"""sheltech monihar bhaban no 4 h 154/1 gate 2 rd monipouripara""","""sheltech monihar bhaban no 4 h 154/1 gate 2 rd monipouripara"""
"""biborton , house 413 , nsu driveway , block b , basundhara r/a""","""basundhara r/a"""
"""ameena's heritage 9/6 block d""","""ameena's heritage 9/6 block d"""
"""house 1 road 1 block f aftabnagar""","""house 1 road 1 block f aftabnagar"""
"""h 114/2 , malibagh rail gate , malibagh""","""malibagh"""
"""ibn sina hospital 68 road 15a dhanmondi r/a""","""ibn sina hospital 68 road 15a dhanmondi r/a"""
"""north end coffee roasters , block cwn , gulshan 2""","""gulshan 2"""
"""kamalapur railway station kamalapur""","""kamalapur railway station kamalapur"""
"""nha garden city building 7 , ring road , shyamoli , mohammadpur""","""mohammadpur"""
"""united commercial bankm ltd science laboratory rd , elephant rd""","""elephant rd"""
"""shwadhin bangla filling & service station , shahid tajuddin ahmed sarani , mohakhali""","""mohakhali"""
"""plot 302 nsu rd block b bashudnhara r/a""","""plot 302 nsu rd block b bashudnhara r/a"""
"""matrichata apartment industrial area tejgaon""","""matrichata apartment industrial area tejgaon"""
"""fairview , bashundhara , block i , bashundhara r/a""","""bashundhara r/a"""
"""habiba palace 251 d block 8 no road , block d bashundhara r/a""","""block d bashundhara r/a"""
"""h 1a , rd 112 , gulshan 1""","""gulshan 1"""
"""muzahid store north kuril""","""muzahid store north kuril"""
"""sbasti homeo bidhan , h 320 , rd 5 , baridhara dohs""","""baridhara dohs"""
"""h 650 rd 3 block g bashundhara r/a""","""h 650 rd 3 block g bashundhara r/a"""
"""six seasons hotel , gulshan 2 , gulshan""","""gulshan"""
"""17 , road 99 , gulshan 2 , gulshan""","""gulshan"""
"""sayem sobhan tanvir rd , block d bashundhara r/a""","""block d bashundhara r/a"""
"""baitul aman jame masjid , arambag residential area , mirpur 7""","""mirpur 7"""
"""service road , kurmitola , sector 3""","""sector 3"""
"""orchid international school 11 section 2""","""orchid international school 11 section 2"""
"""tangy , 444 , south paikpara , road 16 , block d , mukti housing , dokkhin paikpara""","""dokkhin paikpara"""
"""road 2a kurmitola , sector 4""","""sector 4"""
"""pasta fact mirpur dohs""","""pasta fact mirpur dohs"""
"""siddhirganj post office , demra narayanganj rd , siddhirganj power plant , shiddhirganj , narayanganj , 1430""","""1430"""
"""mirpur 1 eidgah field , zoo rd""","""zoo rd"""
"""mojumdar pharmacy h 9 ave 2 mirpur 11""","""mojumdar pharmacy h 9 ave 2 mirpur 11"""
"""smart technology bd limited , agargaon""","""agargaon"""
"""h 63 durga mandir rd , jafrabad""","""jafrabad"""
"""al mahmud filling station , darus salam rd darus salam""","""darus salam rd darus salam"""
"""dewanpara , dakshinkhan""","""dakshinkhan"""
"""shiblu air condition & refregartion 185/6, adarsha moholla road senpara parbata , purba kazipara""","""purba kazipara"""
"""tuku vila, 1st colony , mazar road , mirpur 1""","""mirpur 1"""
"""caab headquarter (new complex ) hazrat shahjalal international airport kurmitola""","""caab headquarter (new complex ) hazrat shahjalal international airport kurmitola"""
"""86 , sarak 12 1 , basundhara r/a""","""basundhara r/a"""
"""balur math north bishil""","""balur math north bishil"""
"""alien , h 73/g1 , central rd , dhanmondi""","""dhanmondi"""
"""aarong rd 11 banani""","""aarong rd 11 banani"""
"""sarker villa , ka 21/2/a , kalachandpur school rd , nadda""","""nadda"""
"""shawon & t mirpur dohs""","""shawon & t mirpur dohs"""
"""nirvana block c bashundhara r/a""","""nirvana block c bashundhara r/a"""
"""onurag restaurant , h 1 , babar rd , mohammadpur""","""mohammadpur"""
"""plot 620 road 9 ave 2 mirpur dohs""","""plot 620 road 9 ave 2 mirpur dohs"""
"""shahjalal international airport domestic terminal""","""shahjalal international airport domestic terminal"""
"""physio aid physiotherapy home service in dhaka residential area dhanmondi""","""physio aid physiotherapy home service in dhaka residential area dhanmondi"""
"""razia tower 6/a/1 , rajia sarak abdul rafiq housing kallyanpur""","""rajia sarak abdul rafiq housing kallyanpur"""
"""asad gate , asad ave , mohammadpur""","""mohammadpur"""
"""pcmakerbd , sector 10 uttara""","""sector 10 uttara"""
"""nirob confectionery , h 27/2 , babar rd , mohammadpur""","""mohammadpur"""
"""chaap ghor road 9/a satmasjid road dhanmondi""","""chaap ghor road 9/a satmasjid road dhanmondi"""
"""nsu mosque , block b , bashundhara r/a""","""bashundhara r/a"""
"""mirpur 2 nursery , mirpur govt. primary school , section 2""","""section 2"""
"""h 261 , rd 5 , mohammadi housing society , mohammadpur""","""mohammadpur"""
"""327 i block road 1 bashundhara r/a""","""327 i block road 1 bashundhara r/a"""
"""adilur rahman , 48 , rd 28 , gulshan 1""","""gulshan 1"""
"""rd s4 eastern housing pallabi""","""rd s4 eastern housing pallabi"""
"""dipaloy store mohammadia housing society mohammadpur""","""dipaloy store mohammadia housing society mohammadpur"""
"""akfc 20no building , green road , dhanmondi""","""dhanmondi"""
"""hossain castle , 8, line 12 bauniabadh section 11""","""line 12 bauniabadh section 11"""
"""jahangirnagar university""","""jahangirnagar university"""
"""nabakumar institution & dr. shahidullah college 16 unmesh datta road noorbagh siddikbazar""","""nabakumar institution & dr. shahidullah college 16 unmesh datta road noorbagh siddikbazar"""
"""sutrapur community center , sk das rd , gandaria""","""gandaria"""
"""babar bari road 11 mohammadia housing society mohammadpur""","""babar bari road 11 mohammadia housing society mohammadpur"""
"""tritech building service ltd block i bashundhara r/a""","""tritech building service ltd block i bashundhara r/a"""
"""eastern panchachhaya , h 152/2/g/1 2 , panthapath""","""panthapath"""
"""mejbani khana 36 kamal atatruk avenue banani""","""mejbani khana 36 kamal atatruk avenue banani"""
"""green arcadia 428 d block 7 no road block d bashundhara r/a""","""green arcadia 428 d block 7 no road block d bashundhara r/a"""
"""6/4 , mirpur road , dhanmondi r/a , shyamolimoli""","""shyamolimoli"""
"""aci gulshan avenue gulshan 1 gulshan""","""aci gulshan avenue gulshan 1 gulshan"""
"""mega joy villa , 5/3 , block b , ghaznavi road , mohammadpur""","""mohammadpur"""
"""japan garden city ring rd mohammadpur""","""japan garden city ring rd mohammadpur"""
"""nrb global bank limited 94 gulshan avenue dakkhin badda gulshan""","""nrb global bank limited 94 gulshan avenue dakkhin badda gulshan"""
"""avionic services , gazi golam dastagir rd , arambag""","""arambag"""
"""the senses spa , gulshan 2 gulshan""","""gulshan 2 gulshan"""
"""schneider electric bangladesh gulshan 2 gulshan""","""schneider electric bangladesh gulshan 2 gulshan"""
"""riyad tea store , dhaka narayanganj rd , chasara , narayanganj sadar , narayanganj, 1400""","""1400"""
"""443 d block 6 no road block d bashundhara r/a""","""443 d block 6 no road block d bashundhara r/a"""
"""zakir super market""","""zakir super market"""
"""dutch bangla bank ltd secretariat rd university of dhaka""","""dutch bangla bank ltd secretariat rd university of dhaka"""
"""34 road 7 section 12""","""34 road 7 section 12"""
"""professor dr.maruf siddiqui , ivf & fertility specialists , residential area , dhanmondi""","""dhanmondi"""
"""tamanna pharmacy sayem sobhan anvir road block d bashundhara r/a""","""tamanna pharmacy sayem sobhan anvir road block d bashundhara r/a"""
"""teletalk airport booth customer care centre , hazrat shahjalal international airport , dhaka , kurmitola""","""kurmitola"""
"""bismillah fashion gallary sarulia demra""","""bismillah fashion gallary sarulia demra"""
"""dom inno certified , 4 road 7 sector 1 , kurmitola , sector 1""","""sector 1"""
"""road 4a , dhanmondi r/a""","""dhanmondi r/a"""
"""gosofto , north kafrul""","""north kafrul"""
"""heaven tree plants & agro , rayer bazar graveyard , mohammadpur""","""mohammadpur"""
"""al noor eye hospital , noor makka complex , zafrabad , mohammadpur""","""mohammadpur"""
"""kamal srimty pathagar , h 106 , 5 , dinanath sen rd , gandaria""","""gandaria"""
"""cp fried chicken , motijheel""","""motijheel"""
"""5 no gurudas sarkar lane , narinda , wari""","""wari"""
"""shahin medicine & departmental store , north mugda""","""north mugda"""
"""muslim bazar , block d , mirpur 12""","""mirpur 12"""
"""evercare hospital , plot 81 , bashundhara road , block-e , basundhara""","""basundhara"""
"""circuit house officers quarters,kakrail""","""kakrail"""
"""jashim general store,rd 2,prominent housing,mohammadpur""","""mohammadpur"""
"""abacus thai and chinese restaurant,bir uttam mir shawkat sarak,dakkhin badda,gulshan""","""gulshan"""
"""dhaka nagar paribahan bus stop,satmasjid rd,dhanmondi""","""dhanmondi"""
"""ncc bank limited(uttara branch),sector 6""","""sector 6"""
"""huawei experience store,toyenbee road,motijheel""","""motijheel"""
"""6/2,block f,kazi nazrul islam road,mohammadpu""","""mohammadpu"""
"""masjid,shahid bashar rd,dhaka cantonment""","""dhaka cantonment"""
"""gaus nagar jame masjid,new eskaton""","""new eskaton"""
"""shahjalal islami bank limited atm,gulshan 1,gulshan""","""gulshan"""
"""saguphta new road,mirpur dohs,mirpur 12""","""mirpur 12"""
"""anchorage the residence,sector 4,uttara""","""uttara"""
"""mutual trust bank,airport road,new airport road,kurmitola,sector 2""","""sector 2"""
"""dhaka central international medical college and hospital,golden steel road,shyamoli""","""shyamoli"""
"""basundhara city teletalk amaderiphone customer care & sales center,panthapath""","""panthapath"""
"""dhaka general hospital,6/1,humayun road,jeneva camp,mohammadpur""","""mohammadpur"""
"""sifat fashion,hasan nagar,kamrangirchar""","""kamrangirchar"""
"""sugarbd,com,road 9,sector 3,uttara""","""uttara"""
"""fency housing,rd 1,kalunagar""","""kalunagar"""
"""monowara garden,58,labrotary road,dhanmondi""","""dhanmondi"""
"""bangladesh eye hospital,sat masjid rd,dhanmondi""","""dhanmondi"""
"""cpa it,residential area,dhanmondi""","""dhanmondi"""
"""mist general mustafiz multipurpose hall (gmmph),mirpur cantonment""","""mirpur cantonment"""
"""abdul rashid villa,zafrabad,mohammadpur""","""mohammadpur"""
"""boishakhi building lake city road,lake city,khilkhet""","""khilkhet"""
"""zunna,136,road 13,banani""","""banani"""
"""moghol heritage,green road,dhanmondi""","""dhanmondi"""
"""ahsania mission cancer and general hospital amcgh,embankment driveway,sector 10,uttara""","""uttara"""
"""con fusion private limited,dohs,mirpur""","""mirpur"""
"""m/s,style & elegance,elephant road,new market""","""new market"""
"""rangdhanu police quarter,golapbag,sayedabad""","""sayedabad"""
"""s m machinery,nawabpur,bangshal""","""bangshal"""
"""bismillah tower,thana rd,1340""","""1340"""
"""food burger house""","""food burger house"""
"""bull shade,sector 16,uttara""","""uttara"""
"""airport rent a car service,hazrat shahjalal international airport,kurmitola""","""kurmitola"""
"""mayer doya pharmacy and telicom,rayerbag,sonir akhra""","""sonir akhra"""
"""house 17 road 14 sector 3 uttara""","""house 17 road 14 sector 3 uttara"""
"""h 451,rd 6,block d,basundhara r/a""","""basundhara r/a"""
"""meena bazar,rd 27,dhanmondi""","""dhanmondi"""
"""city bank ltd,new airport rd""","""new airport rd"""
"""h 664,rd 20,block f, basundhara r/a""","""basundhara r/a"""
"""city hospital limited,lalmatia block e,lalmatia""","""lalmatia"""
"""trust filling station,airport rd,old airport""","""old airport"""
"""pulse healthcare services,gulshan 1,gulshan""","""gulshan"""
"""jomidar goli,wireless,paltan""","""paltan"""
"""lab aid hospital,rd ,dhanmondi""","""dhanmondi"""
"""rayerbag bus stand""","""rayerbag bus stand"""
"""batener hotel,bamail,demra""","""demra"""
"""m/s maa bedding store,h 228,green rd""","""green rd"""
"""h 266,school rd,east rampura""","""east rampura"""
"""al arafah islami bank limited atm,west jatrabari""","""west jatrabari"""
"""h 62,block c,banashree""","""banashree"""
"""shri shri loknatha babar mandir,swamibag rd""","""swamibag rd"""
"""ma general store,ahmedbag,bashabo""","""bashabo"""
"""narinda char rastar mor,narinda rd""","""narinda rd"""
"""432,road 11, basundhara r/a""","""basundhara r/a"""
"""anwara nursing home,h 18,pallabi r/a,eastern pallabi,pallabi""","""pallabi"""
"""intercontinental dhaka,1,minto road,wireless,paltan""","""paltan"""
"""house 25,road 19,sector 4,uttara""","""uttara"""
"""salina hits,39/3,road 2,section 12""","""section 12"""
"""sharanti,131,road 6,block c, basundhara r/a""","""basundhara r/a"""
"""bashar villa,shekhertek,mohammadpur""","""mohammadpur"""
"""cafe baghdad restora,arambag,motijheel""","""motijheel"""
"""ananda's auto workshop , west dhanmondi""","""west dhanmondi"""
"""embassy of the federal republic of germany park road madani avenue gulshan 2""","""embassy of the federal republic of germany park road madani avenue gulshan 2"""
"""road 4 , kotbari bazaar , uttara""","""uttara"""
"""civil aviation residential area , sector 2""","""sector 2"""
"""baynews24 , block g,  banani""","""banani"""
"""haal cherona bondhu , dakkhinpara mohakhali""","""dakkhinpara mohakhali"""
"""basundhara r/a , block j , bashundhara r/a""","""bashundhara r/a"""
"""santi kunja 7 section 2""","""santi kunja 7 section 2"""
"""link persons international limited block d banani""","""link persons international limited block d banani"""
"""n h plastic industries rupnagar residential area , mirpur""","""mirpur"""
"""sac nsu rd , block b , bashundhara r/a""","""bashundhara r/a"""
"""sharmans carpet , central road , dhanmondi""","""dhanmondi"""
"""fursan air , block a , mirpur 10""","""mirpur 10"""
"""amir confectionary and general store , block c , mirpur 1""","""mirpur 1"""
"""bangabazar mor , phonix road fakirapool , gulistan""","""gulistan"""
"""share and care , mirpur dohs""","""mirpur dohs"""
"""the h hotel gulshan 2, gulshan""","""gulshan"""
"""jigatola mart , moneshwar road dhanmondi""","""moneshwar road dhanmondi"""
"""bancharampur tours & travels , naya paltan""","""naya paltan"""
"""fursan air block a mirpur 10""","""fursan air block a mirpur 10"""
"""trade point international , thana rd , 1340""","""1340"""
"""bangabazar mor phonix road fakirap[ool gulistan""","""bangabazar mor phonix road fakirap[ool gulistan"""
"""khoyab , 10 , road 18 , nikunja 2""","""nikunja 2"""
"""the h hotel gulshan 2 gulshan""","""the h hotel gulshan 2 gulshan"""
"""house 151, road 8 block d bashundhara r/a""","""road 8 block d bashundhara r/a"""
"""mohammady dry cleaners , arambag residential area pallabi , mirpur""","""mirpur"""
"""kazi's residence , hs:463 , rd . 13 , bik:f , bashundhara r/a , block f""","""block f"""
"""l block sector -2 jame masjid block h aftabnagar""","""l block sector -2 jame masjid block h aftabnagar"""
"""mk engineering dohs , mirpur""","""mirpur"""
"""mouchak bus stop dhaka chittagong highway muktajheel shiddhirganj naryanganj 1361""","""mouchak bus stop dhaka chittagong highway muktajheel shiddhirganj naryanganj 1361"""
"""ranir bhubon , 376/a , road 10 , block c""","""block c"""
"""bhojon roshik restora , block f mirpur 2""","""block f mirpur 2"""
"""dot network uttara sector-10 , sector 10""","""sector 10"""
"""quantum heart club , block a banasree""","""block a banasree"""
"""dmch garden park , dhaka medical college hospital bagan""","""dhaka medical college hospital bagan"""
"""ashik villa d 58 road 3 mohanagar housing project niketan""","""ashik villa d 58 road 3 mohanagar housing project niketan"""
"""decent glory , 4 , road 7 , section 2""","""section 2"""
"""bouddho mondir bus stopage autish dipankar road moddho bashabo komlapur""","""bouddho mondir bus stopage autish dipankar road moddho bashabo komlapur"""
"""hazrat shah jalal international airport , new airport road , kurmitola , sector 2""","""sector 2"""
"""hanif traders , jigatola dhanmondi""","""jigatola dhanmondi"""
"""house 23/2 , tejkunipara - nakhalpara road , west nakhalpara , tejgaon""","""tejgaon"""
"""aiport rent a car service , hjazrat shahjalal international airport kurmitola""","""hjazrat shahjalal international airport kurmitola"""
"""house 404 dhrubotara aftabuddin ahmed road block c""","""house 404 dhrubotara aftabuddin ahmed road block c"""
"""h 961 , rd 13 , block g , basundhara r/a""","""basundhara r/a"""
"""southest bank limited atm , segun bagicha road""","""segun bagicha road"""
"""laila tower h 21 rd 4 gulshan 1""","""laila tower h 21 rd 4 gulshan 1"""
"""baba rafi mahedi mart , basundhara r/a""","""basundhara r/a"""
"""nova h 301 free school st kathalbagan""","""nova h 301 free school st kathalbagan"""
"""ridy sheikh starbase dance studio , dohs , mirpur""","""mirpur"""
"""probash mohanagar prokolpo rampura""","""probash mohanagar prokolpo rampura"""
"""house 62 , park road , block k , baridhara""","""baridhara"""
"""paribarik koborsthan lalsharai rd kachukhet mirpur 14""","""paribarik koborsthan lalsharai rd kachukhet mirpur 14"""
"""tanjimul ummah girls madrasa , rd 5 , sector 13 , uttara""","""uttara"""
"""laila tower h 21 rd 4 gulshan 1""","""laila tower h 21 rd 4 gulshan 1"""
"""dr. serajoom munira , residential area , dhanmondi""","""dhanmondi"""
"""nova h 301 free school st kathalbagan""","""nova h 301 free school st kathalbagan"""
"""waffle n snacks , south banasree""","""south banasree"""
"""probash mohanagar prokolpo rampura""","""probash mohanagar prokolpo rampura"""
"""suhrawardy medical college and hospital , sher e bangla nagar""","""sher e bangla nagar"""
"""paribarik koborsthan lalsharani rd kachukhet mirpur 14""","""paribarik koborsthan lalsharani rd kachukhet mirpur 14"""
"""rd 3a , dhanmondi""","""dhanmondi"""
"""secret beauty residential area dhanmondi""","""secret beauty residential area dhanmondi"""
"""g. y , trade private limited , road 4 , block c , banani""","""banani"""
"""feni store h 89, sher e bangla rd mohammadpur""","""sher e bangla rd mohammadpur"""
"""boss burger""","""boss burger"""
"""hazrat shahjalal international airport terminal 2 airport road new airport road kurmitola sector 2""","""hazrat shahjalal international airport terminal 2 airport road new airport road kurmitola sector 2"""
"""parjatan bhaban agargaon mirpur""","""parjatan bhaban agargaon mirpur"""
"""digital departmental store , sector 5 , uttara""","""uttara"""
"""la sierra 10 road 8 section 12""","""la sierra 10 road 8 section 12"""
"""h 261 , rd 8 , block d , basundhara r/a""","""basundhara r/a"""
"""a.d mart mirpur dohs main rd pallabi""","""a.d mart mirpur dohs main rd pallabi"""
"""house 571 , road 5 , block h""","""block h"""
"""mouchak rd muktajheel shiddhirganj naryanganj 1361""","""mouchak rd muktajheel shiddhirganj naryanganj 1361"""
"""uniqe fashion bd , sector 7 , uttara""","""uttara"""
"""chs house plot somprosharito pallabi mirpur 11.5""","""chs house plot somprosharito pallabi mirpur 11.5"""
"""union bank international division , gulshan avnue , gulshan 2 , gulshan""","""gulshan"""
"""ashiyan medical college cath lab barua khilkhet""","""ashiyan medical college cath lab barua khilkhet"""
"""road 10 mirpur dohs mirpur 12""","""road 10 mirpur dohs mirpur 12"""
"""kajol cloth stor , shibu market faitullah rd , shibu market , fatullah , narayanganj , 1401""","""1401"""
"""dhaka wasa harun mollah eid gaon math pump station block a mirpur 12""","""dhaka wasa harun mollah eid gaon math pump station block a mirpur 12"""
"""adliya homes , house 463/a , road 7 , block h , bashundhara r/a""","""bashundhara r/a"""
"""look change output pallabi mirpur""","""look change output pallabi mirpur"""
"""era spa premium , gulshan 2""","""gulshan 2"""
"""house 166 block b road 4 block b bashundhara r/a""","""house 166 block b road 4 block b bashundhara r/a"""
"""time bangladesh school , east rampura""","""east rampura"""
"""meena bazar ecb chattar manikdi dhaka cantonment""","""meena bazar ecb chattar manikdi dhaka cantonment"""
"""locus road 11 block c banani""","""locus road 11 block c banani"""
"""hazrat shahjalal international airport , terminal 2 , airport road , new airport road , kurmitola , sector 2""","""sector 2"""
"""rowjatus salihath mohila madrasha shah magdum avenue sector 11 uttara""","""rowjatus salihath mohila madrasha shah magdum avenue sector 11 uttara"""
"""new auto solution bangladesh , sector 7 , uttara""","""uttara"""
"""house 117 road 11 block e banani dhaka""","""house 117 road 11 block e banani dhaka"""
"""msnsela web solution , sector 10 , uttara""","""uttara"""
"""dpdc banani office kemal ataturk avenue""","""dpdc banani office kemal ataturk avenue"""
"""hous ecleansing zone in bd , block e banani""","""block e banani"""
"""simco holdings ltd , muzaffar garden city , fulbari , uttara""","""uttara"""
"""ansari camp madrasha road korail mohakhali""","""ansari camp madrasha road korail mohakhali"""
"""lake view clinic , road 79 , gulshan 2 , gulshan""","""gulshan"""
"""rd 87 gulshan 2""","""rd 87 gulshan 2"""
"""mahmuda palace , 101 , d block 6 no road , block d , basundhara r/a""","""basundhara r/a"""
"""masud manor block f mirpur 2""","""masud manor block f mirpur 2"""
"""fleet bangladesh ( head quarter ) , road 5 , block f , banani""","""banani"""
"""h 2 l , rd 9 block g , bashundhara r/a""","""bashundhara r/a"""
"""villa de mahima , 14 , road 124 , dakkhin badda , gulshan""","""gulshan"""
"""green line arambagh counter no 03 south kamalapur""","""green line arambagh counter no 03 south kamalapur"""
"""shilpa bank bhaban , dit avenue , fakirapool , gulistan""","""gulistan"""
"""delta hospital limited , abdullah pur ate para road , sector -08 , uttara""","""uttara"""
"""dhaka airport garden , new airport rd""","""new airport rd"""
"""japan east west medical college""","""japan east west medical college"""
"""sun trading , sector 10 , uttara""","""uttara"""
"""h 294 , rd 1 , block f , basundhara r/a""","""basundhara r/a"""
"""157 , road 7 , section 12""","""section 12"""
"""shaupno's house , block a , mirpur 12""","""mirpur 12"""
"""season group , sector 3 , uttara""","""uttara"""
"""nazim house , adarsha nagar , badda""","""badda"""
"""rifat store , enayetnagar""","""enayetnagar"""
"""fars hotel and resorts , h 212 , syed nazrul islam sarani , purana paltan""","""purana paltan"""
"""seba booth 9 mor , monipuripara , tejgaon""","""tejgaon"""
"""khati bazar , circular road , green road""","""green road"""
"""aref nishan , 43/b , north circular road , dhanmondi""","""dhanmondi"""
"""fakirapool kazi office , h 1 toyenbee circular rd , fakirapool""","""fakirapool"""
"""department of architecture mist mirpur cantonment""","""department of architecture mist mirpur cantonment"""
"""urban park view , residential area dhanmondi""","""residential area dhanmondi"""
"""h 726/5 rd adabor""","""h 726/5 rd adabor"""
"""dar al shif homeo hall,368/33/b/5,hazi wasir khan sarak,ahemd nagar,paikpara,mukti housing,ahmed nagar""","""ahmed nagar"""
"""cha block,mirpur 2,dhaka block a.mirpur 2""","""dhaka block a.mirpur 2"""
"""dawat lakhi garden,ibrahimpur,kachukhet""","""kachukhet"""
"""shams kitchen food card,wari,tikatuli""","""tikatuli"""
"""vomka jame masjid,up council rd,birulia akran road,ashulia,savar""","""savar"""
"""al kawsar,20,road 32,banani,gulshan""","""gulshan"""
"""raijas collection,house 40,road 17,sector 11,uttara""","""uttara"""
"""nilanjona,sector 18,uttara""","""uttara"""
"""shopup hq operations,house 112,lane 6,mohakhali dohs,mohakhali""","""mohakhali"""
"""rooftop mosque,block d,banani""","""banani"""
"""emeraid bakery & cafe,block e,banani""","""banani"""
"""r n homio health care,3/6,60 feet,mukti housing,dokkhin paikpara,dokkhin monipur""","""dokkhin monipur"""
"""h 10,rd 1,block a,banashree""","""banashree"""
"""narayanganj bar academy,hospital rd,khanpur,narayanganj sadar,narayanganj,1400""","""1400"""
"""hafiz villa,new old 141,segunbagicha rd,segunbagicha""","""segunbagicha"""
"""102,road 3,block c,basundhara r/a""","""basundhara r/a"""
"""city bank ltd,new airport rd""","""new airport rd"""
"""bonedi bazar,sector 7,uttara""","""uttara"""
"""fdcl design project c 30,block c,basundhara r/a""","""basundhara r/a"""
"""rajmoni isha kha shopping complex,h 89/3,kakrail rd,kakrail""","""kakrail"""
"""ratans dental,jamuna future park,kuril""","""kuril"""
