File Name,Price,Current Time,ETA Time
uberx_route_8.png,327.62,10:52,11:17am - 3 min away
uberx_route_80.png,301.25,11:47,12:07pm -1 min away
uberx_route_81.png,Not found,11:48,Not found
uberx_route_82.png,418.62,Not found,12:32pm -1 min away
uberx_route_83.png,Not found,Not found,Not found
uberx_route_84.png,227.81,Not found,12:07pm -2 min away
uberx_route_85.png,221.56,Not found,12:07pm -2 min away
uberx_route_86.png,272.64,11:51,12:12pm - 1 min away
uberx_route_87.png,269.30,11:52,12:10pm -1 min away
uberx_route_88.png,342.86,Not found,12:20pm -1 min away
uberx_route_89.png,331.26,Not found,12:19pm -1 min away
uberx_route_9.png,Not found,10:53,Not found
uberx_route_90.png,170.70,Not found,12:04pm - 2 min away
uberx_route_91.png,216.17,Not found,12:11pm - 2 min away
uberx_route_92.png,327.85,11:55,12:24pm -1 min away
uberx_route_93.png,316.16,Not found,12:20pm -1 min away
uberx_route_94.png,279.18,11:56,12:22pm - 2 min away
uberx_route_95.png,273.83,Not found,12:16pm -1 min away
uberx_route_96.png,365.73,Not found,12:28pm -1 min away
uberx_route_97.png,237.76,Not found,12:14pm -1 min away
uberx_route_98.png,387.40,11:89,12:27pm - 1 min away
uberx_route_99.png,Not found,Not found,Not found
