Unnamed: 0,Pickup Point,Pickup Area
2185,"AMADEYR CLOUD LTD , ROAD 23 , BLOCK B , BANANI",Banani
2188,"TONY HOMEO HALL , H 22/2, RD 20 , TILAPARA , KHILGAON",Khilgaon
2189,"EMERALD HEIGHTS , WEST , DHANMONDI",Dhanmondi
2190,"CHOWDHURY GREEN CREST , H 10 / A, GREEN RD , DHANMONDI",Dhanmondi
2192,"KADAMTALA, DHAKA , BANGLADESH",Agargaon
2193,"SHAPLA SHINCHON , IQBAL ROAD , MOHAMMADPUR",Mohammadpur
2195,"MUTUAL TRUST BANK LIMITED ATM , SECTOR 3 , UTTARA",Uttara
2196,"DONER KING , SECTOR 11, UTTARA",Uttara
2197,"METRO SHOPPING MALL , RESIDENTIAL AREA  , DHANMONDI",Dhanmondi
2199,"2/24 , BLOCK B , BABOR ROAD , MOHAMMADPUR",Mohammadpur
2200,"DIPA HOTEL & RESTAURANT , DIT ROAD , MALIBAGH RAIL GATE , MALIBAGH",Malibagh
2212,"RD 12, BLOCK F, BASHUNDHARA R/A",Bashundhara R/A
2213,"HASAN LIGHTING & DECORATOR,SECTOR 11,UTTARA",Uttara
2214,"PRETEX,SECTOR 4,UTTARA",Uttara
2215,"RD 2,SECTOR 13,UTTARA",Uttara
2217,"PROTTASHA SUPER SHOP,SECTOR 11,UTTARA",Uttara
2221,"ROAD NO 11,BLOCK A,BASHUNDHARA R/A",Bashundhara R/A
2222,"BRAC BANK LTD , TEJGAON GULSHAN LINK RD , NIKETON",Niketon
2226,"SHEBA. XYZ HOUSE 454 , ROAD 31 , MOHAKHALI DOHS , MOHAKHALI",Mohakhali
2230,"THAI BAHN , GULSHAN 2, GULSHAN",Gulshan
2231,"FIT & FINE PHYSIOTHERAPY CENTRE , SECTOR 13 , UTTARA",Uttara
2233,"SHUVASTU NAGAR VALLEY , F/2, BIR UTTAM RAFIQUL ISLAM AVE , SHAHJADPUR",Shahjadpur
2235,"HOUSE 41,ROAD 13,SECTOR 13,UTTARA",Uttara
2237,"NORTH END COFFEE ROASTERS EVER CARE HOSPITAL , BLOCK - E, BASHUNDHARA R/A",Bashundhara R/A
2238,"NUR-NAHAR ANIKA JAME MASJID , SECTION 13 , MIRPUR",Mirpur
2239,"BARTHA MONEY EXCHANGE,GULSHAN 2,GULSHAN",Gulshan
2240,"ALOHA BANGLADESH,RESIDENTIAL AREA,DHANMONDI",Dhanmondi
2241,"RAJU MUDI STORE,ROAD NO 2,BLOCK A,BASUNDHARA R/A",Bashundhara
2242,"TEA STALL , DHAKA , BLOCK E , BANANI",Banani
2244,"HOUSE 10 , ROAD 4 , SRCTOR 3, UTTARA",Uttara
2249,"BAITUL ABRAR JAME MASJID,BOTTOLA RD,MOHAKHALI",Mohakhali
2253,"COOPER'S BAKERY BANGLADESH , ROAD 46 , GULSHAN 2 , GULSHAN",Gulshan
2258,"GABTOLI BUS STATION MIRPUR ROAD , ABDUL RAFIQ HOUSING , GABTALI",Mirpur
2259,"THANDA GOROM,SECTOR 3,UTTARA",Uttara
2262,"BANGLADESH MATS,SECTOR 9,UTTARA",Uttara
2263,"DBL DIGITAL , ROAD 4 , GULSHAN1 , GULSHAN",Gulshan
2264,"VIP TOWER,H 51/1,PIR SHAHEBER GOLI,SHANTINAGAR,MOTIJHEEL",Motijheel
2268,"JANATA BANK LIMITED,BASUNDHARA RD,JAMUNA FUTURE PARK,BASUNDHARA R/A",Bashundhara
2269,"FAIR WORLD,SATMASJID RD,BLOCK F,MOHAMMADPUR",Mohammadpur
2270,"AMENA KUTIR , H 16 , RD 5 , KADERABAD HOUSING , MOHAMMADPUR",Mohammadpur
2274,"BULUS CENTRE,ROAD 34,GULSHAN 1,GULSHAN",Gulshan
2284,"FRIENDS GALLERY,15,ROAD 5,NIKUNJA 2",Nikunja
2285,"ADDA,SECTOR 4,UTTARA",Uttara
2287,"MARIA BAKERY , CULVURT RD , FAKIRAPOOL",Fakirapool
2288,"BASIC BANK BASHUNDHARA BRANCH,H 13,ALHAZ ABDUS SALAM RD,BLOCK B,BASUNDHARA R/A",Bashundhara
2289,"29/16 , BLOCK C , TAJMAHAL ROAD , MOHAMMADPUR",Mohammadpur
