Location Name,Address,Classified Area
AZIMPUR CHAPRA MASJID,"Azimpur Chapra Masjid Rd, Azimpur",Azimpur
CPM (CENTER FOR PHYSIOTHERAPY AND MOBILITY),"Malibagh Rail Gate, Malibagh",Malibagh
"HOUSE 66, ROAD 2","Block A, Niketan, Gulshan",Gulshan
ROAD 131,"Dakkhin Badda, Gulshan",Gulshan
SHIKDER BARI,"Eastern Housing, Golden Street, Shyamoli, Mohammadpur",Shyamoli
BLOCK I,Bashundhara R/A,Bashundhara
DEWAN CO,"109, DIT Road, Malibagh Rail Gate, Malibagh",Malibagh
SABAAH PHARMA,"Sector 3, Uttara",Uttara
NILAMBAR CORPORATION,"Block F, Banani",Banani
"RD 7, BLOCK E","Block E, Mirpur 1",Mirpur
"RD 26, BLOCK L","Block L, Bashundhara R/A",Bashundhara
PARIBAGH GARDEN TOWER,Paribagh,Paribagh
YAGISHITA PALACE,"Road 7, Section 2, Uttor Badda",Uttor Badda
"RD 15, BLOCK J","Block J, Bashundhara R/A",Bashundhara
SOUTH BADDA ROAD,"Dakkhin Badda, Gulshan",Gulshan
CLIFFORD NAFI,"Kaderabad Housing, Mohammadpur",Mohammadpur
MIRPUR MISSION,"Shorok 2, Section 2, Mirpur",Mirpur
REKHA SHOES,Elephant Rd,Elephant Road
SHEIKH RUSSEL NATIONAL GASTROLIVER INSTITUTE,"TB Gate Road, Mohakhali",Mohakhali
ZAMAN TOWER,"H 37.2, Culvert Rd, Fakirapool",Fakirapool
"AVENUE 2, ROAD 12","Road 12, H 875, Mirpur",Mirpur
TOPIA SHARUBA,"D Block 9 No Road, Block D, Bashundhara R/A",Bashundhara
SOFIA GARDEN,"Block F, Road 21, Bashundhara R/A",Bashundhara
TASHPIA KAZI TOWER,"Road 9, Block M, Banasree",Banasree
DR. SINTHIA CONSULTANT,"Gulshan 2, Gulshan",Gulshan
ROAD NO. 22,Bashundhara R/A,Bashundhara
AN ARK NEPAL HOUSE,"House 11, Lane 11/1, Block B, Section 10, Mirpur",Mirpur
"H 37/L, RD 3","H 37/L, RD 3, Block D, Bashundhara R/A",Bashundhara
HOMELAND MAHABUB PALACE,"House 295/A, Sayem Sobhan Anvir Road, Block C, Bashundhara R/A",Bashundhara
EXCLUSIVE APARTMENT,"384, Al Haj Abdus Sobhas Road, Block B, Bashundhara R/A",Bashundhara
UTTARA ENGINEERING COLLEGE,"Paper Mill Road, Abdullahpur, Uttara",Uttara
RAHMAN CHEMBER,"Toyenbee Road, Banglabhaban Area, Hatkhola",Hatkhola
UTTARA NORTH METRO RAIL STATION,Uttara,Uttara
EMON,"H 28/A, Rd 1, Mohammadi Housing Ltd, Mohammadpur",Mohammadpur
THE MAJESTIC,"Adhunik Hospital Road, Section 12",Section 12
FARUK GENERAL STORE,"H 8/15, Rd 1, Block C, Lalmatia",Lalmatia
LAKE SIDE,"31, Road 28 (New 15), Dhanmondi R/A",Dhanmondi
RAMNA PS,"Sahid Capten Munsur Ali Avenue, Wireless, Paltan",Paltan
PHARMACY,"RD 9, Mirpur DOHS",Mirpur DOHS
"H 848, RD 19","Block G, Bashundhara R/A",Bashundhara
BASHUNDHARA PURBACHAL LINK RD,"Block J, Bashundhara R/A",Bashundhara
KALACHANDPUR MAIN ROAD,"Baridhara, Gulshan",Gulshan
GLORIA JEANS COFFEE,"Road 71, Gulshan 2, Gulshan",Gulshan
"ROAD 20, KOTBARI BAZAAR",Sector 7,Sector 7
HONGKONG SHANGHAI TOWER,"H108, RD 11, Banani",Banani
SHANGHAI CHINESE CAFE,"RD 11, Banani",Banani
"469, ROAD NO. 7",Bashundhara R/A,Bashundhara
ABDUS SATTAR,Section 2,Section 2
OBSTERICAL & GYNAECOLOGICAL SOCIETY HOSPITAL,"OGSB Hospital, Section 13, Mirpur",Mirpur
BISHMILLAH,"Block D, Bashundhara R/A",Bashundhara
MALIHA APARTMENTS,"Plot 24, Senpara Parbata, Mirpur 10",Mirpur
PRIYO NEER,"H 13/A, Eskaton Garden Rd, Old Eskaton",Eskaton
PARTY PIZZA HOUSE,"Mohammadpur, Adabor",Adabor
RIZ PARK,"Adabor, Mohammadpur",Mohammadpur
THE PRESTIGE MAGAZINE,"House 47, Road 11, Block H, Banani",Banani
NORTH END COFFEE ROASTERS,"Evercare Hospital, Block E, Bashundhara R/A",Bashundhara
"HOUSE 28, ROAD 8","Sector 12, Uttara",Uttara
SETARA BEGUM,"H 104, RD 7, Mohammadi Housing Society, Mohammadpur",Mohammadpur
DOMESTIC TERMINAL,"New Airport Road, Kurmitola, Sector 2",Biman Bandar
"RD 28, BLOCK D",Mirpur 10,Mirpur
3/1 KALLYANPUR PRODHAN SARAK,"Notun Bazar, Mukti Housing, Moddho Paikpara",Moddho Paikpara
"334, I BLOCK",Bashundhara R/A,Bashundhara
AAA FASHION,"Main Road, Section 6",Mirpur
LA GUSTOSA KITCHEN,"Residential Area, Dhanmondi",Dhanmondi
GODULE,"102, Sarak 14, Khilkhet, Bashundhara R/A",Bashundhara
TULIP MOONLIT,"H 333, RD 18, Banani",Banani
AZRAT SHAH JALAL INTERNATIONAL AIRPORT,"Dhaka Mymensingh Highway, Kurmitola",Kurmitola
MINTU GENERAL STORE,"North Perebug, Mukti Housing, Moddho Paikpara",Moddho Paikpara
"KFC, BAILY ROAD","Baily Road, Natok Sarani, Gold Hunt Shopping Complex",Baily Road
MOMTAZ BEGUM,"167/2/B, Road 4, Janata Housing Senpara Parbata",Senpara Parbata
ARSALAM HOTEL AND RESTAURANT,"14, Road 7, Dhanmondi",Dhanmondi
SORAI JAME MASJID ROAD,Jatrabari,Jatrabari
RAILWAY STAFF ACCOMMODATION,"Dhaka Mymensingh Highway, Kurmitola, Sector 1",Kurmitola
"ROAD 3, BLOCK D",Bashundhara R/A,Bashundhara
"10, ROAD 1, SECTION 7",Bashundhara R/A,Bashundhara
