Location Name,Address,Classified Area
A TO Z GENERAL & TELECOM,"Bir Uttam Mir Shawkat Sarak, Niketon",Niketon
NCC BANK,"Shahid Janani Jahanara Imam Sarani, Nijhum Residential Area, Hazaribagh",Hazaribagh
YELLOW,"House 15/2/A, Rankin St, Wari",Wari
NUR JAHAN SUPER MARKET,"House 6, Mirpur Road, New Market",New Market
CITY BANK LTD,New Airport Road,Kurmitola
"HOUSE 495, ROAD 2","Road 4, Block D, Bashundhara R/A",Bashundhara
BRAC BANK HEAD OFFICE,"Bir Uttam Mir Shawkat Sarak, East Nakhalpara, Niketon",Niketon
BROWNLORD,"Wireless Gate, Mohakhali",Mohakhali
ASMA MANZIL,"House 30, Gopibagh 3rd Lane, Gopibagh",Gopibagh
"SECTOR 15, BLOCK B, PLAYGROUND",Uttara,Uttara
RAHIM BEPARI,"Ghat Road, Rayer Bazar, Lalmatia",Lalmatia
BPROPERTY UTTARA MARKETPLACE,"Sonargaon Janapath, Sector 11, Uttara",Uttara
PIN POINT PHOTOGRAPHY,"Niketon, Gulshan 1",Gulshan
LAB AID SPECIALIZED HOSPITAL,"House 6, Road 4, Dhanmondi",Dhanmondi
GOLDEN RICE,"H 215, Badda Bazar Rd, Middle Badda",Badda
AFTAB FINANCE,"Kemal Ataturk Avenue, Banani",Banani
BANALATA,"House 239, Road No. 2, Block B, Bashundhara R/A",Bashundhara
SUHAILA SUBHANA,"Block B, Banasree",Banasree
AZAN KHABAR GHAR,"H 13, RD 2, Sector 3, Uttara",Uttara
LABEL. SOLUTION 118.COM,"Block D, Banani",Banani
PUM ER GOLI,"Ahmadnagar, Middle Paikpara",Paikpara
EKANTA,"H 41/24, RD 1, Mohammadpur",Mohammadpur
LOKNAQTH PHARMACY,"Tati Bazar, Kotowali",Kotowali
KURIL PUBLIC TOILET,"Bishaw Road, Kuril",Kuril
SPARKLE BY LAMIA,"West, Dhanmondi",Dhanmondi
SENAPRANGAN,"Matikata Road, Cantonment, Dhaka Cantonment",Cantonment
ATHENA'S,"Block C, Banani",Banani
DHANMONDI 15 BUS STAND,Dhanmondi,Dhanmondi
FAMILY DENTAL ZONE,East Goran,Goran
GREEN JUICE BAR AND FAST FOOD,"Green Road, Dhanmondi",Dhanmondi
FARIHA DRUG HOUSE,"Dokkhon Paikpara, Moddho Paikpara",Paikpara
SUZENA'S CLOSET,"Gulshan 1, Gulshan",Gulshan
JAPAN GARDEN CITY,Mohammadpur,Mohammadpur
AMBASSADOR GOLAM HOSSAIN HOUSE,"Block H, Banani",Banani
BIJOY RAKEEN STRIKERS GROUND,"Section 13, Mirpur",Mirpur
"HOUSE 13, ROAD 10B","Sector 11, Uttara",Uttara
THE PARK REDIANCE,"House 412, NSU Driveway, Block B, Bashundhara R/A",Bashundhara
DM,"Sector 13, Uttara",Uttara
"869, 60 FEET","60 Feet, Mukti Housing, Dokkhon Monipur",Monipur
"H 833/4, SHAHID BAKI SARAK","Taltola, Khilgaon",Khilgaon
"1349/1, EAST SHEWRAPARA ROAD","East Shewrapara Road, West Kafrul, Purba Kazipara",Kafrul
M.N. HUDA BHUIYA,"Notun Bazar, Mukti Housing, Moddho Paikpara",Paikpara
SHIULI,"PC Culture Housing Society, Mohammadpur",Mohammadpur
HAPPY HEIGHTS,"D Block, Bashundhara R/A",Bashundhara
RESONANCE,"North Vasantek Road, Vasantek",Vasantek
"44/27, Pantha Path","Pantha Path, Dhanmondi",Dhanmondi
"H 24, ESKATON GAEDEN RD","Eskaton Garden Rd, Old Eskaton",Eskaton
Sheba Holdings Ltd,Purana Paltan,Paltan
"H 159/1, RD 16","Tilapara, Khilgaon",Khilgaon
ITVATA KALABAGAN RD,"Kalabagan, 1702",Kalabagan
UTTARA SECTOR 10 WELFARE ASSOCIATION,"Road 1, Sector 10, Uttara",Uttara
Xindian Restaurant,"H 55, 55/A, RD 27, Dhanmondi",Dhanmondi
"H 27, RD 1","Mohammadpur Housing Ltd, Mohammadpur",Mohammadpur
LANDMARK SURVEY CONSULTANT,"Adabor, Mohammadpur",Mohammadpur
ARTSTAN CRAFT BD CORPORATE OFFICE,"RD 10, Mirpur DOHS",Mirpur DOHS
"6/10, 1/B Lalmatia Block C",Lalmatia,Lalmatia
HOTEL NANDINI,"Shukrabad, Dhanmondi 32",Dhanmondi
BUET Graduates Club Ltd,"Block I, Banani",Banani
NET OFFICE LALBAGH,Azimpur,Azimpur
"HOUSE 15, ROAD 18","Sector 11, Uttara",Uttara
BIVABOY,"156, Malibagh College Road, Malibagh Bazar Road, Malibagh",Malibagh
POPULAR DIAGNOSTIC CENTRE LTD,"Residential Area, Dhanmondi",Dhanmondi
DEX JIGATOLA STATION,Dhanmondi,Dhanmondi
BHAI BHAI STORE,"Nosor Uddin Rd, Matikata",Matikata
M. AKHTAR ALI,"14 (A), Road 95, Gulshan 2, Gulshan",Gulshan
Jamuna Future Park Exit Way,"Progati Sarani, Bashundhara",Bashundhara
Fatiha Mini Kitchen,"Dakkhinpara, Mohakhali",Mohakhali
PRAAVA HEALTH,"7, Road 17, Banani",Banani
Titumir College,"Wireless Gate, Mohakhali",Mohakhali
LA GUSTOSA KITCHEN,"Residential Area, Dhanmondi",Dhanmondi
BIHS GENERAL HOSPITAL,"Darussalam Rd, Darus Salam",Darussalam
ASHA NIR,"338, Main Road 13, Section 10",Section 10
Sayedabad Filling Station,"Dhaka Chittagong Highway, Swamibag",Swamibag
Lucas Mor,"Prime Minister Office Rd, West Nakhalpara",Nakhalpara
Amoree The Beauty House,"Eastern Pallabi, Mirpur 11.5",Mirpur 11.5
SAGARIKA MULTIPURPOSE HALL,"RD 65, Dhaka Cantonment",Cantonment
Don Chamber,"Naraynganj Sadar, Narayanganj",Narayanganj
ABC BARIDHARA LAKE TERRACE,"Block K, Baridhara",Baridhara
Mohanagar Housing Project,"C 60, Road 4, Mohanagar Housing Project, Niketan",Niketan
Kurmitola General Hospital,"Tongi Diversion Road, Dhaka",Kurmitola
CHAYENEER,"2 Number Line, Section 11",Mirpur
Mirpur Pre Primary School,"13, Rupnagar Road, Extended Pallabi, Mirpur",Mirpur
Mirpur 1 Footover Bridge,"Section 1, Mirpur",Mirpur
GHOWSUL AZAM RESTAURANT,"H 1/1/A, Atish Dipankar Rd, Maniknagar, Jatrabari",Jatrabari
PARADISE,"215, Road 12, Section 12",Section 12
"House 47, Lake Dr Road","Sector 7, Uttara",Uttara
"Mirpur Road, Abdul Rafiq Housing","Abdul Rafiq Housing, Adabar",Adabar
A&A MS Ground,"Namapara, Dhaka-1229",Namapara
B.M. Shaokat Ali,"38, Road 2, Section 12",Section 12
"H 12, RD 4, BLOCK C",Banashree,Banashree
"1, Paribagh Garden Tower",Paribagh,Paribagh
Tanmanna Complex,"Mirpur Road 14, Kachukhet",Kachukhet
Shazeda Villa,"Block A, Banani",Banani
Hatirjheel Tower,"Lalkuthi, Mirpur",Mirpur
Luthfa Garden,"175, Road 9, Section 12",Section 12
"H 531/3, RD 11, BARIDHARA DOHS",Baridhara DOHS,Baridhara DOHS
Shopno Nagar,"Shagufta New Road, Mirpur DOHS",Mirpur DOHS
MEAT N CHEEZ,"Rupnagar R/A, Mirpur 2",Mirpur 2
Ranusree,"101, Road 13E, Banani",Banani
Jazira Fabrics,"Dhaka Narayanganj Rd, Gabtali",Gabtali
MIAZY COMPUTER & PHOTOCOPY CENTRE,"Shabdar Ali Master Rd, East Arichpur, Moinartek",Moinartek
"5/a/2, Block D","Razia Sultana Road, Mohammadpur",Mohammadpur
HONGKONG SHANGHAI TOWER,"H 108, RD 11, Banani",Banani
MOTIJHEEL,"Dilkusha, Motijheel",Motijheel
EDGE EDUCATION,"Block F, Banani",Banani
"House 252, RD 3",DOHS Baridhara,Baridhara DOHS
METAL LAL PATHAR,"Senpara Parbata, Ahmed Nagar",Ahmed Nagar
MUSLIM SWEETS & BAKERY,"Dhanmondi Road 2, Dhanmondi R/A",Dhanmondi
POPULAR HOSPITAL,,
BIVABOY,"156, Malibagh College Road, Malibagh Bazar Road, Malibagh",Malibagh
POPULAR DIAGNOSTIC CENTRE LTD,"Residential Area, Dhanmondi",Dhanmondi
DEX JIGATOLA STATION,Dhanmondi,Dhanmondi
BHAI BHAI STORE,"Nosor Uddin Rd, Matikata",Matikata
M. AKHTAR ALI,"14 (A), Road 95, Gulshan 2, Gulshan",Gulshan
Jamuna Future Park Exit Way,"Progati Sarani, Bashundhara",Bashundhara
Fatiha Mini Kitchen,"Dakkhinpara, Mohakhali",Mohakhali
PRAAVA HEALTH,"7, Road 17, Banani",Banani
Titumir College,"Wireless Gate, Mohakhali",Mohakhali
LA GUSTOSA KITCHEN,"Residential Area, Dhanmondi",Dhanmondi
BIHS GENERAL HOSPITAL,"Darussalam Rd, Darus Salam",Darussalam
ASHA NIR,"338, Main Road 13, Section 10",Section 10
Sayedabad Filling Station,"Dhaka Chittagong Highway, Swamibag",Swamibag
Lucas Mor,"Prime Minister Office Rd, West Nakhalpara",Nakhalpara
Amoree The Beauty House,"Eastern Pallabi, Mirpur 11.5",Mirpur 11.5
SAGARIKA MULTIPURPOSE HALL,"RD 65, Dhaka Cantonment",Cantonment
Don Chamber,"Naraynganj Sadar, Narayanganj",Narayanganj
ABC BARIDHARA LAKE TERRACE,"Block K, Baridhara",Baridhara
Mohanagar Housing Project,"C 60, Road 4, Mohanagar Housing Project, Niketan",Niketan
Kurmitola General Hospital,"Tongi Diversion Road, Dhaka",Kurmitola
CHAYENEER,"2 Number Line, Section 11",Mirpur
Mirpur Pre Primary School,"13, Rupnagar Road, Extended Pallabi, Mirpur",Mirpur
Mirpur 1 Footover Bridge,"Section 1, Mirpur",Mirpur
GHOWSUL AZAM RESTAURANT,"H 1/1/A, Atish Dipankar Rd, Maniknagar, Jatrabari",Jatrabari
PARADISE,"215, Road 12, Section 12",Section 12
"House 47, Lake Dr Road","Sector 7, Uttara",Uttara
"Mirpur Road, Abdul Rafiq Housing","Abdul Rafiq Housing, Adabar",Adabar
A&A MS Ground,"Namapara, Dhaka-1229",Namapara
B.M. Shaokat Ali,"38, Road 2, Section 12",Section 12
"H 12, RD 4, BLOCK C",Banashree,Banashree
"1, Paribagh Garden Tower",Paribagh,Paribagh
Tanmanna Complex,"Mirpur Road 14, Kachukhet",Kachukhet
Shazeda Villa,"Block A, Banani",Banani
Hatirjheel Tower,"Lalkuthi, Mirpur",Mirpur
Luthfa Garden,"175, Road 9, Section 12",Section 12
"H 531/3, RD 11, BARIDHARA DOHS",Baridhara DOHS,Baridhara DOHS
Shopno Nagar,"Shagufta New Road, Mirpur DOHS",Mirpur DOHS
MEAT N CHEEZ,"Rupnagar R/A, Mirpur 2",Mirpur 2
Ranusree,"101, Road 13E, Banani",Banani
Jazira Fabrics,"Dhaka Narayanganj Rd, Gabtali",Gabtali
MIAZY COMPUTER & PHOTOCOPY CENTRE,"Shabdar Ali Master Rd, East Arichpur, Moinartek",Moinartek
"5/a/2, Block D","Razia Sultana Road, Mohammadpur",Mohammadpur
HONGKONG SHANGHAI TOWER,"H 108, RD 11, Banani",Banani
MOTIJHEEL,"Dilkusha, Motijheel",Motijheel
EDGE EDUCATION,"Block F, Banani",Banani
"House 252, RD 3",DOHS Baridhara,Baridhara DOHS
METAL LAL PATHAR,"Senpara Parbata, Ahmed Nagar",Ahmed Nagar
MUSLIM SWEETS & BAKERY,"Dhanmondi Road 2, Dhanmondi R/A",Dhanmondi
POPULAR HOSPITAL,,
