last part,Pickup Area,Pickup Point
basundhara r/a,Bashundhara,"""140 , sarak 8  1 , basundhara r/a"""
mohammadpur,Mohammadpur,"""national physiotherapy & rehabilation centre,iqbal road,mohammadpur"""
uttara,Uttara,"""house 11 , road 14 , sector 06 , uttara"""
panthapath,Panthapath,"""ghc rent a car,panthapath"""
kuril,Kuril,"""gulnaksha hall  1, purbachal express highway , kuril"""
south kafrul,Kafrul,"""shopno neer 6,mitali housing society,south kafrul"""
mohammadpur,Mohammadpur,"""ruet guest house , shyamoli , mohammadpur"""
bangladesh,Agargaon,"""chandra udyan , crecent , lake road , dhaka , bangladesh"""
uttara,Uttara,"""house 56 , road 13 , sector 3 , uttara"""
basundhara r/a,Bashundhara,"""473, ahmed akbar sobhan avenue , block d , basundhara r/a"""
bashundhara r/a,Bashundhara R/A,"""amble asma,h 747,rd 23,block f,bashundhara r/a"""
uttara,Uttara,"""rd 1b , sector 10 , uttara"""
mohammadpur,Mohammadpur,"""blackboard studio , zakir hossain road , mohammadpur"""
gulshan,Gulshan,"""shanta,01,road 104,gulshan 2,gulshan"""
west dhanmondi,Dhanmondi,"""nahar villa , h 63, 9/a , west dhanmondi"""
uttara,Uttara,"""uttara tehari ghor,jashimuddin avenue,road 14,sector 01,uttara"""
banani,Banani,"""road 21,banani"""
uttara,Uttara,"""mukul , sector 7 , uttara"""
uttara,Uttara,"""hazi kacchi ghor & tehari,shah makhdum avenue,sector 14,uttara"""
kuril,Kuril,"""standard chartered bank ltd , alhaz abdus sobhan rd , block b , kuril"""
gulshan,Gulshan,"""persona,5th floor,gulshan avenue,gulshan 2,gulshan"""
uttara,Uttara,"""tuintar ltd , sector 4 , uttara"""
bashundhara r/a,Bashundhara R/A,"""nsu rd , block b , bashundhara r/a"""
dhanmondi,Dhanmondi,"""h 285/2,rd 8/a,dhanmondi"""
uttara,Uttara,"""abid burger house , abdullahpur bus stop , uttara"""
dhanmondi,Dhanmondi,"""xindian restaurant,residential area,dhanmondi"""
bashundhara r/a,Bashundhara R/A,"""shariatpur rent a car (bashundhara) , block k , bashundhara r/a"""
banani,Banani,"""donerci flaming door,road 27,banani"""
bashundhara r/a,Bashundhara R/A,"""jcx camelia , block j, bashundhara r/a"""
uttara,Uttara,"""house 33,road 4,sector 5,uttara"""
gulshan,Gulshan,"""aloki,tejgaon link road,niketon,gulshan"""
mohammadpur,Mohammadpur,"""brac office,chad uddin housing,mohammadpur"""
uttara,Uttara,"""enchanter , sector 13 , uttara"""
dhanmondi,Dhanmondi,"""eneayet jame masjid,residential area,dhanmondi"""
bashundhara r/a,Bashundhara R/A,"""83, sarak 12   1, bashundhara r/a"""
dhanmondi,Dhanmondi,"""bangladesh eye hospital,sat masjid rd,dhanmondi"""
dhanmondi,Dhanmondi,"""76,girls school road,dhanmondi"""
mohakhali,Mohakhali,"""al arabian cake & sweets, bir uttam a.k khandaker , sorok , mohakhali"""
motijheel,Motijheel,"""gulistan , bangabandhu ave, motijheel"""
gulshan,Gulshan,"""commercial mohakhali school road,mohakhali,gulshan"""
banani,Banani,"""golden sun,road 2,block l,banani"""
gulshan,Gulshan,"""chirta,shanta holdings ltd,gulshan 2,gulshan"""
dhanmondi,Dhanmondi,"""lab aid specialized hospita,house 6,road 4,dhanmondi"""
dhanmondi,Dhanmondi,"""sobar upare,h 11,rd 6,dhanmondi"""
basundhara r/a,Bashundhara,"""house 1/f,shafiat road,block c,basundhara r/a"""
niketon,Niketon,"""a to z genteral & telecom,h 31,bir uttam mir shawkat sarak,niketon"""
new airport rd,Biman Bandar,"""city bank ltd,new airport rd"""
basundhara r/a,Bashundhara,"""28,road 4,block d,basundhara r/a"""
bashundhara r/a,Bashundhara R/A,"""house 495,road 2,block d,bashundhara r/a"""
niketon,Niketon,"""brac bank head office,220/b,bir uttam mir shawkat sarak,east nakhalpara,niketon"""
mohakhali,Mohakhali,"""brownlord,wireless gate,mohakhali"""
gopibag,Gopibagh,"""asma manzil,h 30,gopibag 3rd ln,gopibag"""
uttara,Uttara,"""sector 15,block b,playground,uttara"""
bashundhara r/a,Bashundhara R/A,"""h 267,rd 10,block a,bashundhara r/a"""
dhanmondi,Dhanmondi,"""prantor,42/2,raja bazar indira road,dhanmondi"""
mirpur,Mirpur,"""eyedol,rupnagar residential area,mirpur"""
basundhara r/a,Bashundhara,"""rd 17,block f,basundhara r/a"""
banani,Banani,"""house 6,block f,road 1,banani"""
gulshan,Gulshan,"""gulshan central park & sports complex,gulshan 2,gulshan"""
bashundhara r/a,Bashundhara R/A,"""road no 3,bashundhara r/a"""
agargaon,Agargaon,"""united nations developement programme,begum rokeya sarani,agargaon"""
mohammadpur,Mohammadpur,"""mohammadpur baitur rahman jame masjid,salimullah road,mohammadpur"""
uttara,Uttara,"""lubana general hospital & uttara cardiac center,garib e newaz ave,sector 13,uttara"""
mirpur,Mirpur,"""akon motors & servicing center , eastern housing , mirpur"""
uttara,Uttara,"""kunjolota (16a,16b,16c,16d),sector 18,uttara"""
niketon,Niketon,"""niketon society gate 5,rd 8,block g,niketon"""
gulshan 1,Gulshan,"""crisp gulshan avenue,gulshan 1"""
banani,Banani,"""shainik club bus stop,block f,banani"""
gulshan,Gulshan,"""brac bank limited,gulshan 1,gulshan"""
bashundhara r/a,Bashundhara R/A,"""the stellar , 37 , road 4, block d , bashundhara r/a"""
mohammadpur,Mohammadpur,"""h 12, mohammadpur beribadh connecting rd , mohammadpur"""
uttara,Uttara,"""shahjalal avenue branch , sector 4 , uttara"""
uttara,Uttara,"""abdullahpur beribadh circle , ic medical rd , uttara"""
basundhara r/a,Bashundhara,"""nsu rd , block b , basundhara r/a"""
bashundhara r/a,Bashundhara R/A,"""shariatpur rent a car ( bashundhara ) , block k , bashundhara r/a"""
mohammadpur,Mohammadpur,"""omar hasan dry cleaners , mohammadia housing society , mohammadpur"""
uttara,Uttara,"""house 23, road 5/a , sector 5 , uttara"""
panthapath,Panthapath,"""square hospital  ltd , panthapath"""
bashundhara r/a,Bashundhara R/A,"""gentle park , jamuna future park , bashundhara r/a"""
malibagh,Malibagh,"""cake & pastry , rajarbagh , malibagh"""
panthapath,Panthapath,"""russel square , panthapath"""
uttara,Uttara,"""jame masjid , turag tir , uttara"""
uttara,Uttara,"""maa pharmacy and medicine super shop , sector 13 , uttara"""
dhanmondi,Dhanmondi,"""shahi kulfi , block d , lalmatia , dhanmondi"""
section 2,Mirpur,"""s/4 , section 2"""
mohammadpur,Mohammadpur,"""25/5b , block f , joint quarter , aziz moholla road , mohammadpur"""
uttara,Uttara,"""rak tower , sector 3 , uttara"""
pallabi,Pallabi,"""rd 4 , pallabi extension , pallabi"""
section 12,Mirpur,"""58 , road 7 , section 12"""
uttara,Uttara,"""trust bank atm booth , sector 4 , uttara"""
west dhanmondi,Dhanmondi,"""the buffet empire , west dhanmondi"""
uttara,Uttara,"""armed police battalion headquarters , sector 2, uttara"""
agargaon,Agargaon,"""alpona tailors , administrative area , agargaon"""
bashundhara r/a,Bashundhara R/A,"""83, sarak 12 1, bashundhara r/a"""
uttara,Uttara,"""house 59 , road 19 , sector 11 , uttara"""
mohammadpur,Mohammadpur,"""rd 7, baitul aman housing society , mohammadpur"""
mirpur 2,Mirpur,"""hridoy majumder joy , block h , mirpur 2"""
section 2,Mirpur,"""ferdousi palace 7, section 2"""
bashundhara r/a,Bashundhara R/A,"""
0al haj abdus sobhan rd 1, bashundhara r/a """
panthapath,Panthapath,"""bangladesh laser dental , h 67, panthapath"""
sector 13,Uttara,"""sector 13"""
mirpur,Mirpur,"""marks medical college  & dental & nursing unit , section 13 , mirpur"""
dhanmondi,Dhanmondi,"""raya buffet & party center , west , dhanmondi"""
west dhanmondi,Dhanmondi,"""ozz cafe , h 133 , rd 9/a , west dhanmondi"""
mohammadpur,Mohammadpur,"""birpurush films , rayer bazaar , mohammadpur"""
basundhara r/a,Bashundhara,"""h 340, alhaz abdus sobhan rd , block  b , basundhara r/a"""
uttara,Uttara,"""ssr home , sector 18 , uttara"""
uttara,Uttara,"""asian international school , sector 4 , uttara"""
banani dohs,Banani,"""rainy's place , banani dohs"""
banani,Banani,"""cricbddirect , road 8 , block f , banani"""
mohakhali,Mohakhali,"""al arabian cake & sweets , bir uttam a.k khandaker sorok , mohakhali"""
uttara,Uttara,"""promi agro food ltd, abdullahpur , atipara rd , sector 8 , uttara"""
uttara,Uttara,"""enchanter , sector 13, uttara"""
uttara,Uttara,"""my tripguru , sector 1 , uttara"""
bangladesh,Agargaon,"""bashundhara k block field, dhaka , bangladesh"""
khilgaon,Khilgaon,"""h 487 , shahid baki sarak , taltola , khilgaon"""
bashundhara r/a,Bashundhara R/A,"""jcx camelia , block j , bashundhara r/a"""
basundhara r/a,Bashundhara,"""rupayan group limited , 844/b , sabrina sobhan 4th avenue road , block d , basundhara r/a"""
uttara,Uttara,"""cafe pizza house , bns center ( ground floor ) , uttara"""
fakirapool,Fakirapool,"""ar sign , h 37 , culvert rd , fakirapool"""
uttara,Uttara,"""mr . baker , rd 7 , sector 3 , uttara"""
niketon,Niketon,"""premier bank limited , bir uttam mir shawkat sarak , east nakhalpara , niketon"""
bangladesh,Agargaon,"""bastola road , dhaka , bangladesh"""
uttara,Uttara,"""aladin kids , sector 6 , uttara"""
paltan,Paltan,"""the carnation , 5 , circuit house road , wireless , paltan"""
section 12,Mirpur,"""7, road 3, section 12"""
uttara,Uttara,"""rd 18 , sector 7 , uttara"""
uttara,Uttara,"""mosharraf tea stall , turag tir , uttara"""
uttara,Uttara,"""biswas agrovet ltd , sector 7 , uttara"""
uttara,Uttara,"""saleha rab tower , sector 10 , uttara"""
bashjunmdhara r/a,Bashundhara R/A,"""muin mahir palace , 261/b, d block b no road , block d, bashjunmdhara r/a"""
nikunja 2,Nikunja,"""flocks , 9 , road 4 , nikunja 2"""
gulshan,Gulshan,"""artisan business network bangladesh , house 13, road 09 , gulshan 1 ,gulshan"""
kalabagan,Kalabagan,"""artisan dakhina , h 87, kalabagan 2nd ln , kalabagan"""
gulshan 1,Gulshan,"""njn international limited,road 135,gulshan ave,gulshan 1"""
mohammadpur,Mohammadpur,"""rabeya garden,mohammadia residential area,mohammadpur"""
dhanmondi,Dhanmondi,"""lab aid speicialized hospital,house 6,road 4,dhanmondi"""
mohammadpur,Mohammadpur,"""h 998,rd 17,baitul aman housing society,mohammadpur"""
gulshan,Gulshan,"""elvie beauty salon,bir uttam rafiqul islam avenue,gulshan"""
section 12,Mirpur,"""7,road 3,section 12"""
kalabagan,Kalabagan,"""a h design & developement ltd,opposite site of square hospital ltd,lake circus rd,kalabagan"""
basundhara r/a,Bashundhara,"""muin mahir palace,261/b,d block 8 no road,block d,basundhara r/a"""
mohammadpur,Mohammadpur,"""mohammadi homes ltd,mohammadpur"""
uttara,Uttara,"""rd 18,sector 7,uttara"""
kalabagan,Kalabagan,"""artisan dakhina,h 87,kalabagan 2nd ln,kalabagan"""
uttara,Uttara,"""biswas agrovet ltd,sector 7,uttara"""
dhanmondi,Dhanmondi,"""rapa plaza,rd 27,dhanmondi"""
nikunja 2,Nikunja,"""h 48,rd 14,nikunja 2"""
bashundhara r/a,Bashundhara R/A,"""shariatpur rent a car,block k,bashundhara r/a"""
bashundhara r/a,Bashundhara R/A,"""jcx camelia,block j,bashundhara r/a"""
bangladesh,Agargaon,"""bashundhara k block field,dhaka,bangladesh"""
bashundhara r/a,Bashundhara R/A,"""83,sarak 12/1,bashundhara r/a"""
uttara,Uttara,"""rd 1b,sector 10,uttara"""
gulshan,Gulshan,"""the city bank,road 113/a,gulshan"""
basundhara r/a,Bashundhara,"""nsu rd,block b,basundhara r/a"""
west dhanmondi,Dhanmondi,"""nahar villa, h 63,9/a,west dhanmondi"""
basundhara r/a,Bashundhara,"""raju garden,231, i block road 8,basundhara r/a"""
uttara,Uttara,"""enchanter,sector 13,uttara"""
mohakhali,Mohakhali,"""al arabian cake & sweets,bir uttam  a k khandaker sorok,mohakhali"""
motijheel,Motijheel,"""gulistan,bangabandhu ave,motijheel"""
uttara,Uttara,"""promi agro,food ltd,abdullahpur atipara rd,sector 8,uttara"""
chawkbazar,Chawkbazar,"""alom pharmacy,h 18/1,urdu rd,chawkbazar"""
kuril,Kuril,"""baby land,jamuna future park,kuril"""
uttara,Uttara,"""koel shop,sector 11,uttara"""
gulshan,Gulshan,"""concord express,kamal ataturk avenue,gulshan 2,gulshan"""
catering service tehari ghar(sobhanbag),Mohammadpur,"""catering service tehari ghar(sobhanbag)"""
uttara,Uttara,"""house 10,road 8/a,sector 10,uttara"""
motijheel,Motijheel,"""eco travelers corporate office,arambagh,motijheel"""
gulshan,Gulshan,"""tinfo property,gulshan 2,gulshan"""
uttara,Uttara,"""kamarpara,rd 16,rasdia mouza,uttara"""
uttara,Uttara,"""house 7,road 17,sector 7,uttara"""
bashundhara r/a,Bashundhara R/A,"""iservice,apple authorised service provider,block g,bashundhara r/a"""
uttara,Uttara,"""shahi niloy,sector 10,uttara"""
mohammadpur,Mohammadpur,"""karupith , tajmahal road , mohammadpur"""
uttara,Uttara,"""tech bird , diyabari , uttara"""
bashundhara r/a,Bashundhara R/A,"""anwar landmark radyna,block a,bashundhara r/a"""
gulshan 1,Gulshan,"""dhaka bank limited atm booth,bir uttam mir shawkat sarak,gulshan ave,gulshan 1"""
mirpur,Mirpur,"""road 18, pallabi 2nd phase ( eastern housing ) , mirpur"""
uttara,Uttara,"""infinity mega mall,sector 3,uttara"""
gulshan,Gulshan,"""lakeshore hotel gulshan , 47 , road 41, gulshan 2, gulshan"""
uttara,Uttara,"""ridge park , sector 4, uttara"""
uttara,Uttara,"""monno signature store , sonargaon janapath road , sector 7 , uttara"""
uttara,Uttara,"""house 51, road 19 , sector 11 , uttara"""
uttara,Uttara,"""baqngladesh travel and tours (btt) , sector 11, uttara"""
dhanmondi,Dhanmondi,"""delhi darbar  , road 9/a , sat masjid road , dhanmondi"""
bashundhara r/a,Bashundhara R/A,"""rd 9 , block b , bashundhara r/a"""
uttara,Uttara,"""jasimuddin bus stop , sector 4, uttara"""
gulshan,Gulshan,"""bd foods ltd head office , gulshan 2, gulshan"""
uttara,Uttara,"""house 51, road 14 , sector 3, uttara"""
uttara,Uttara,"""madaripur enterprise , dewanpara  , uttara"""
uttara,Uttara,"""student heaven hostel , sector 10 , uttara"""
uttara,Uttara,"""assure us tower , sector 4 , uttara"""
uttara,Uttara,"""house 37, lake dr road , sector 7 , uttara"""
bashundhara r/a,Bashundhara R/A,"""gp hpuse (grameenphone) , road no 2, block a , bashundhara r/a"""
uttara,Uttara,"""house - 79 , road 13 , sector 13 , uttara"""
banani,Banani,"""zafar & company , kemal ataturk avenue , banani"""
nikunja 2,Nikunja,"""h 54, rd 19 , nikunja 2"""
gulshan,Gulshan,"""expeditors , gulshan 1 , gulshan"""
pallabi,Pallabi,"""rd 1 , pallabi extension , pallabi"""
gulshan 1,Gulshan,"""city palace spa, gulshan 1"""
uttara,Uttara,"""formosa power int. ltd , sector 10 , uttara"""
uttara,Uttara,"""rc property , sector 9 , uttara"""
mirpur,Mirpur,"""bismillah traders , gabtali , mirpur"""
uttara,Uttara,"""dr. nabil zunayed sidny, sector 11, uttara"""
uttara,Uttara,"""shovalaya , sector 11, uttara"""
bashundhara r/a,Bashundhara R/A,"""h 434 , rd 6 , block d , bashundhara r/a"""
kalabagan,Kalabagan,"""national elections, lake circus road , kalabagan"""
uttara,Uttara,"""renown anandalok , sector 15 , uttara"""
uttara,Uttara,"""white hall and caters, sector 3 , uttara"""
uttara,Uttara,"""alliance biotech & analytical ltd , sector 11 , uttara"""
banani,Banani,"""bank asia limited , kamal atatruk avenue , banani"""
west dhanmondi,Dhanmondi,"""eden multicare hospital , satmasjid road , west dhanmondi"""
gulshan,Gulshan,"""lakeshore , house 46, road 41 , gulshan 2, gulshan"""
basundhara r/a,Bashundhara,"""banalata , house 239 , road no .2 , block b , basundhara r/a"""
banani,Banani,"""vfs global italy , road 23 , block b , banani"""
uttara,Uttara,"""joynal market jame masjid , sector 6 , uttara"""
bashundhara r/a,Bashundhara R/A,"""ruoayan shopping square , rd 14 , block g , bashundhara r/a"""
uttara,Uttara,"""rd 1a , sector 5 , uttara"""
sector 13 uttara,Uttara,"""golden info systems, ltd , sector 13 uttara"""
dhanmondi,Dhanmondi,"""western tread intarnatinal bd , residential area , dhanmondi"""
gulshan,Gulshan,"""track innovative technologies , road 91 , gulshan 2 , gulshan"""
uttara,Uttara,"""abul / sobuj bike service and parts shop , sector 2 , uttara"""
ahsania mission cancer and general hospital,Uttarkhan,"""ahsania mission cancer and general hospital"""
east rayer bazar,Rayer Bazar,"""shapla academy , sher e bangla main road , maneshwar , east rayer bazar"""
mohammadpur,Mohammadpur,"""sojol villa , 29/7 , block  c , tajmahal road , mohammadpur"""
nikunja 2,Nikunja,"""parvin kuthir 24, road 13 , nikunja 2"""
banani,Banani,"""dhaka elevated expressway toll plaza , block f , banani"""
mohammadpur,Mohammadpur,"""mohammadpur post office , asad ave , mohammadpur"""
niketon,Niketon,"""jannat telecom , hatirjheel link rd , niketon"""
nikunja 2,Nikunja,"""baitul mahfujz jame masjid , rd 20 , nikunja 2"""
kalabagan,Kalabagan,"""topia prime , h 8/3 , girls school rd , kalabagan"""
banani,Banani,"""space ornate , h 32, rd 10b , banani"""
mohammadpur,Mohammadpur,"""rotnodip ladies tailors & boutique house , h 2 , mirpur rd , mohammadpur"""
bashundhara r/a,Bashundhara R/A,"""102, road no 2, block a, bashundhara r/a"""
mohammadpur,Mohammadpur,"""h 235 , rd 6 , mohammadi housing ltd , mohammadpur"""
motijheel,Motijheel,"""udvash-academic & admission care , arambagh , motijheel"""
mohammadpur,Mohammadpur,"""grand prince restaurant & chinese foods , ring rd , japan garden city , mohammadpur"""
gulshan,Gulshan,"""cwn ( a) 3/b , road 49 , gulshan 2 , gulshan"""
uttara,Uttara,"""house 29, road 13 ,sector 13 , uttara"""
basundhara r/a,Bashundhara,"""469, road no. 7 , basundhara r/a"""
uttara,Uttara,"""mutual trust bank limited atm , sector 13 , uttara"""
section 12,Mirpur,"""3 , road 6 , section 12"""
bashundhara r/a,Bashundhara R/A,"""h 808, ahmed akbar sobhan ave , block g , bashundhara r/a"""
banani,Banani,"""tuly s home , block a , banani"""
mirpur dohs,Mirpur,"""bismillah medicine center , mirpur dohs"""
uttara,Uttara,"""pizza mohol , road 8 , sector 11 ,uttara"""
sector 13 uttara,Uttara,"""house - 66, road - 13 , sector 13 uttara"""
uttara,Uttara,"""fine wear bd , sector 10, uttara"""
sector 13 uttara,Uttara,"""dhaka specialized hospital , sector 13 uttara"""
uttara,Uttara,"""pizza box uttara , sector 11 , uttara"""
nikunja 2,Nikunja,"""city bank ltd , kabi faruk sarani , nikunja 2"""
uttara,Uttara,"""rupsha 12 de , sector 18 , uttara"""
mohakhali,Mohakhali,"""mohakhali bus stop , eastern rd , mohakhali"""
mohakhali,Mohakhali,"""hb consultants ltd , house b177, road 23 , mohakhali dohs , mohakhali"""
gulshan,Gulshan,"""the new gulshan plaza restaurant , gulshan 2 , gulshan"""
dhanmondi,Dhanmondi,"""h 45 , rd 15/a , dhanmondi"""
uttara,Uttara,"""index garden , sector 10 , uttara"""
uttara,Uttara,"""sbdl , sector 9 , uttara"""
bashundhara r/a,Bashundhara R/A,"""house 194, block b, , road 4 , block b , bashundhara r/a"""
uttara,Uttara,"""rd 6 , sector 3 , uttara"""
new airport rd,Biman Bandar,"""city bank ltd, new airport rd"""
bashundhara r/a,Bashundhara R/A,"""100, road 3, block c , bashundhara r/a"""
dhanmondi,Dhanmondi,"""khaja general store , mirpur road , dhanmondi"""
banani,Banani,"""birth certificate helpline , kemal atatruk avenue , banani"""
uttara,Uttara,"""birulia bus stand , sector 16 , uttara"""
banani,Banani,"""british bangla travel ltd , kemal atatruk avbenue , banani"""
malibagh,Malibagh,"""dom- inno pioggia , malibagh rail gate , malibagh"""
dhanmondi,Dhanmondi,"""the octave , 373/15 , free school street , dhanmondi"""
khilgaon,Khilgaon,"""house 471, road 5, chowdhury para block c, khilgaon"""
dhanmondi,Dhanmondi,"""h 31 , north circular rd , dhanmondi"""
dhanmondi,Dhanmondi,"""royal buffet , residential area , dhanmondi"""
uttara,Uttara,"""bproperty uttara marketplace , sonargaon janapath , sector 11, uttara"""
gulshan 1,Gulshan,"""pin point photography , niketon , gulshan 1"""
dhanmondi,Dhanmondi,"""lab aid specialized hospital , house 6 , road 4, dhanmondi"""
banani,Banani,"""aftab  finance , kemal atatruk avenue , banani"""
basundhara r/a,Bashundhara,"""banalata , house 239 , road no. 2 , block b , basundhara r/a"""
uttara,Uttara,"""azan khabar ghar , h 13 , rd 2 , sector 3 , uttara"""
banani,Banani,"""label. solution 118.com, block d , banani"""
mohammadpur,Mohammadpur,"""ekanta , h 41/24 , rd 1 , mohammadpur"""
dhanmondi,Dhanmondi,"""sparkle by lamia , west , dhanmondi"""
banani,Banani,"""athena's , block c , banani"""
dhanmondi,Dhanmondi,"""green juice bar and fast food , green road , dhanmondi"""
gulshan,Gulshan,"""suzena's closet , gulshan 1, gulshan"""
mohammadpur,Mohammadpur,"""japan garden city , mohammadpur"""
banani,Banani,"""ambassador golam hossain house , block h , banani"""
mirpur,Mirpur,"""bijoy rakeen strikers ground , section 13 , mirpur"""
uttara,Uttara,"""house 13 , road 10b , sector 11, uttara"""
basundhara r/a,Bashundhara,"""the park rediance , house 412 , nsu driveway , block b , basundhara r/a"""
uttara,Uttara,"""dm , sector 13 , uttara"""
khilgaon,Khilgaon,"""h 833/4 , shahid baki sarak , taltola , khilgaon"""
mohammadpur,Mohammadpur,"""shiuli , h 18 20 , rd 5 , pc culture housing society , mohammadpur"""
dhanmondi,Dhanmondi,"""44/27, pantha path , dhanmondi"""
khilgaon,Khilgaon,"""h 159/1, rd 16, tilapara , khilgaon"""
uttara,Uttara,"""uttara sector 10 welfare association , road 1 , sector 10 , uttara"""
dhanmondi,Dhanmondi,"""xindian restaurant , h 55 , 55/a , rd 27 , dhanmondi"""
mohammadpur,Mohammadpur,"""h 27 , rd 1 , mohammadpur housing ltd , mohammadpur"""
mohammadpur,Mohammadpur,"""landmark survey consultant , adabar , mohammadpur"""
mirpur dohs,Mirpur,"""artstan craft bd corporate office , rd 10 , mirpur dohs"""
banani,Banani,"""buet graduates club ltd , block i , banani"""
uttara,Uttara,"""house 15 , road  18 , sector 11 , uttara"""
gulshan 1,Gulshan,"""ansar camp , bir uttam ak khandakar rd , gulshan 1"""
uttara,Uttara,"""s.r travels , sector 7 , uttara"""
uttara,Uttara,"""gorgeous with trend , sector 10 , uttara"""
panthapath,Panthapath,"""h 152/2/f , panthapath"""
gulshan,Gulshan,"""3 , road 118 , dakkhin badda , gulshan"""
uttara,Uttara,"""aichi hospital , abdullahpur atipara rd , sector 8, uttara"""
uttara,Uttara,"""raiment park , sector 3 , uttara"""
nikunja 2,Nikunja,"""ma fuska , nikunja 2"""
bashundhara r/a,Bashundhara R/A,"""molla bari . dhaka , block h , bashundhara r/a"""
uttara,Uttara,"""house 84 , road 12 ,sector 10 , uttara"""
bashundhara r/a,Bashundhara R/A,"""h 514, rd 13 , block g , bashundhara r/a"""
mohakhali,Mohakhali,"""radiant college of medical technology , 71, shaheed tajuddin ahmed avenue , shahid tajuddin ahmed avenue , mohakhali"""
basundhara r/a,Bashundhara,"""majumder villa , 512 , ahmed akbar sobhan avenue , block d , basundhara r/a"""
mohammadpur,Mohammadpur,"""h 234/ a, rd 3,, mohammadi housing society , mohammadpur"""
uttara,Uttara,"""govt officers quarter , alaul avenue , kotbari bazaar , uttara"""
mirpur 2,Mirpur,"""bholaia , borobag , mirpur 2"""
dhanmondi,Dhanmondi,"""samia traders , jigatola , dhanmondi"""
uttara,Uttara,"""house 20 , road 07 , sector 10 , uttara"""
bashundhara r/a,Bashundhara R/A,"""home , block c , bashundhara r/a"""
uttara,Uttara,"""rd 19 , sector 11 , uttara"""
bashundhara r/a,Bashundhara R/A,"""alam mansion bashundhara , block e , bashundhara r/a"""
basundhara r/a,Bashundhara,"""korbori , h 132 , rd 7 , block d , basundhara r/a"""
dhanmondi,Dhanmondi,"""green chili restaurant , 70/a , panthapath , dhanmondi"""
uttara,Uttara,"""abdullah house , sector 10 , uttara"""
uttara,Uttara,"""aasif's den , sector 12 , uttara"""
uttara,Uttara,"""computer source , sector 3 , uttara"""
uttara,Uttara,"""la mirchi eatery & cafe, sector 3 , uttara"""
gulshan,Gulshan,"""bam&qs , road 62 , gulshan 2 , gulshan"""
banani,Banani,"""star kabab, road 17 , banani"""
banani,Banani,"""tea garage , block d, banani"""
malibagh,Malibagh,"""bivaboy , 156, malibagh college road , malibagh bazar road , malibagh"""
dhanmondi,Dhanmondi,"""popular diagonstic centre ltd . residential area , dhanmondi"""
dhanmondi,Dhanmondi,"""dex jigatola station , dhanmondi"""
matikata,Matikata,"""bhai bhai store , nosor uddin rd , matikata"""
gulshan,Gulshan,"""m. akhtar ali , 14 (a) , road 95, gulshan 2 , gulshan"""
mohakhali,Mohakhali,"""fatiha mini kitchen , dakkhinpara , mohakhali"""
banani,Banani,"""praava health , 7 , road 17 , banani"""
mohakhali,Mohakhali,"""titumir college dhaka north city corporation yatir chauni , wireless gate , mohakhali"""
dhanmondi,Dhanmondi,"""la gustosa kitchen , residential area , dhanmondi"""
section 12,Mirpur,"""96, road 4 , section 12"""
bangladesh,Agargaon,"""kurmitola general hospital , tongi diversion road , dhaka , bangladesh"""
mirpur,Mirpur,"""mirpur pre primary school , 13 , rupnagar road , extended pallabi , mirpur"""
section 12,Mirpur,"""paradise , 215, road 12 , section 12"""
uttara,Uttara,"""house 47 , lake dr road , sector 7 , uttara"""
section 12,Mirpur,"""b.m  shaokat ali , 38, road 2 , section 12"""
banani,Banani,"""shazeda villa , block a , banani"""
mirpur,Mirpur,"""hatirjheel tower , lalkuthi , mirpur"""
section 12,Mirpur,"""luthfa garden , 175, road 9 , section 12"""
mirpur dohs,Mirpur,"""shopno nagar , shagufta new road , mirpur dohs"""
mirpur 2,Mirpur,"""meat n cheez , rupnagar r/a , mirpur 2"""
banani,Banani,"""ranusree , 101, road 13e, banani"""
mohammadpur,Mohammadpur,"""5/a/2, block d , razia sultana road , mohammadpur"""
banani,Banani,"""hongkong shanghai tower, h 108, rd 11, banani"""
banani,Banani,"""edge education , block f , banani"""
gulshan,Gulshan,"""dr. reyan anis , gulshan 2 , gulshan"""
banani,Banani,"""juice valley , kemal atatruk avenue , banani"""
pallabi,Pallabi,"""rd 16 , rupnagar , pallabi"""
banani,Banani,"""electric furniture , block i , banani"""
gulshan,Gulshan,"""club 89 , limited , gulshan 1, gulshan"""
mohammadpur,Mohammadpur,"""anando bari , h 54 , sher e bangla rd , mohammadpur"""
tikatuli,Tikatuli,"""ns cng filling servicing center ltd , gopibag , tikatuli"""
mohammadpur,Mohammadpur,"""brac bank limited , tajmahal rd , block c , mohammadpur"""
banani,Banani,"""fhc residence , road 7 , block f , banani"""
malibagh,Malibagh,"""mimi confectionary and stationery , chowdhuripara , malibagh"""
gulshan,Gulshan,"""gulshan police checkpost , road 50 , gulshan 2 , gulshan"""
uttara,Uttara,"""house 1 , road 4 , sector 3 , uttara"""
uttara,Uttara,"""sayef rony , ranavola , uttara"""
uttara,Uttara,"""house 7 , road 16 , sector 10 , uttara"""
uttara,Uttara,"""house suilding bus stop , sector 6 , uttara"""
uttara,Uttara,"""m.k. electronics , sector 4 , uttara"""
uttara,Uttara,"""hasan khan it limited , sector 11 , uttara"""
uttara,Uttara,"""house 26 , road 21, sector 14 , uttara"""
basundhara r/a,Bashundhara,"""gazi  mansion , 214 , d block 6 no road , block d , basundhara r/a"""
banani,Banani,"""jahan serai , h 19, rd 10b , banani"""
