"PREMIER BANK PANTHAPATH , BIR UTTAM KAZI NURUZZAMAN ROAD, WEST PANTHAPATH , PANTHAPATH",""
"BANK ASIA , MIRPRU ROAD , DHANMONDI",""
"SONALI BANK LTD ATM , MIRPUR RD , LALMATIA",""
"radio colony bus stop , dhaka aricha highway , savar union",""
"RD 9 , BLOCK B, BASHUNDHARA R/A",""
"KURIL KAZI BARI BUS STOP",""
"navana silver spring , block b , bashundhara r/a",""
"VIEW 5 BY INNSTAR,GULSHAN 1,GULSHAN",""
"UTTARA AJOMPUR, SECTOR 11",""
"BRIDGE MOMTAJ HEIGHT , MIRPUR RD , SHYAMOLI",""
"NIRJHOR,H 538,RD 11,ADABOR",""
"PALLY LIFE DEVELOPEMENTS SOCIETY,BLOCK J ,BARIDHARA DOHS",""
"FACULTY OF FINE ARTS , DHAKA UNIVERSITY TO PROVOST BANGLO , WIRELESS , PALTAN",""
"SHELTECH SERENE , HOUSE 14 , ROAD 5 , SECTOR 3 , UTTARA",""
"HOUSE #273, SAYEM SOBHAN ANVIR ROAD , BLOCK C, BASHUNDHARA R/A",""
"938,ROAD NO 13, BASUNDHARA R/A",""
"NATIONAL POLYTECHNIC INSTITUTE , DHAKA , TEJTURI BAZAR , TEJGAON",""
"tikatuly jame masjid , hatkhola rd , tikatuli",""
"JAIL RD , KASHIMPUR , 1751",""
"PACIFIC TULIP GARDEN , 187 , ROAD 10 , SECTION 12",""
"NEW NATIONAL TILES AGENCY , H 56/1, PROGATI SARANI , NADDA",""
"HERFY BANGLADESH,GULSHAN 1,GULSHAN",""
"1/1/A , SECTION 2",""
"315,ROAD  NO 5,BASUNDHARA R/A",""
"138 EAST GULSHAN 1 ROAD 138",""
"RENOWN ANANDALOK , SECTOR 15 , UTTARA",""
"SWAPNONEER, LAKE CITY CONCORD , KHILKHET",""
"AMERICAN CLUB , RD 70, GULSHAN 2",""
"BLESSING HOME LIMITED,SECTOR 6,UTTARA",""
"BADHON TAILORS , ASHIYAN CITY , KAWLA",""
"DAKKHINGAON,KHILGAON,DHAKA",""
"H 2 , TOYENBEE CIRCULAR RD , FAKIRAPOOL",""
"MAYER DOA TELECOM,H 28/29,LARMINI ST,WARI",""
"LT SHEIKH JAMAL DHANMONDI CLUB,LTD,RESIDENTIAL AREA",""
"MEGA SUNRAIN,H 3/15,IQBAL RD,MOHAMMADPUR",""
"ADAM ALI MARKET , GOALTEK DAKKHINKHAN , UTTARA",""
"RED CHICKEN OUTLET 3",""
"NSU LAW AND MOOTING SOCIETY,BLOCK B, BASUNDHARA R/A",""
"ASHRAF AMBULANCE SERVICE,MIRPUR MODEL THANA",""
"EKHANE KUTTA LEAGUE THAKE,FOLPOTTI GOLCHOTTOR,MIRPUR",""
"SHAHJALAL ISLAMI BANK LIMITED ATM,GULSHAN 1,GULSHAN",""
"POPULAR PHARMACY , ZAFRABAD  , MOHAMMADPUR",""
"BRAC CENTRE , H.NO, 75 GULSHAN BADDA CONNECTING ROAD , MOHAKHALI C/A , MOHAKHALI",""
"HAZRAT SHAHAJALAL INTERNATIONAL AIRPORT",""
"SPECIAL THAI KING,NEAR BY INDIAN HIGH COMISSION,GULSHAN 2",""
"D S PHARMACY DHAKA MEDICAL COLLEGE CANGKHAR POOL",""
"HOUSE 190, RD 02 (NEW ) , AVE 3 , MIRPUR DOHS",""
"THE HOLIDAY , RESIDENTIAL AREA , DHANMONDI",""
"SYED MAHBUB MORSHED AVE , SHYAMOLI",""
"BANANI CHAIRMANBARI JAME MASJID,RD 4,BANANI",""
"PINGUS KITCHEN,SKY VIEW GARDEN,SHANTINAGAR",""
"UNITED INTERNATIONAL UNIVERSITY ( UIU ) MAIN CAMPUS PLAYGROUND CITY , MADANI AVENUE , BADDA",""
"JAPAN GARDEN CITY , RING RD , MOHAMMADPUR",""
"H 11B , RD 1 , MOHAMMADI HOUSING SOCIETY , MOHAMMADPUR",""
"UNICORN PLAZA GULSHAN NORTH AVENUE , GULSHAN 2, GULSHAN",""
"EAST WEST UNIVERSITY,H A/2,JAHRUL ISLAM AVE,MERUL BADDA",""
"BAKTABOLI RD,MUSLIMNAGAR FATULLAH,NARAYANGANJ 1401",""
"ANWAR LANDMARK WHISTLING WOODS , BLOCK A , BANANI",""
"SMANAGER OFFICE,HOUSE 454,ROAD 31,MOHAKHALI DOHS",""
"ATTACK'S KITCHEN , SECTOR 6 , UTTARA",""
"MATIKATA BAZAR,MATIKATA BAZAR RD,MATIKATA",""
"SIMPLE TREE LIGHT HOUSE,ROAD 21,KAMAL ATATURK AVENUE,BLOCK B,BANANI",""
"JATIO NURSING UCCHO SHIKKHA & GOBESHONA PROTISTHA",""
"ECB CHATTAR BUS STOP, MIRPUR DOHS LINK RD , MATIKATA",""
"A TO Z GENTERAL & TELECOM,H 31,BIR UTTAM MIR SHAWKAT SARAK,NIKETON",""
"HOUSE 14, ROAD 8 , BLOCK D , BANASREE",""
"GORAN 8 NO ROAD WATER PUMP , NORTH GORAN",""
"S/4 , SECTION 2",""
"MITHU ENTERPRISE , UTTARA OFFICE , SECTOR 9",""
"LABAID CARDIAC HOSPITAL GREEN ROA DHANMONDI",""
"PHILOSOPHIA SCHOOL,DON CHAMBER RD,NARAYANGANJ SADAR,,NARAYANGANJ,1400",""
"APON FAMILY MART , BLOCK D , BASHUNDHARA R/A",""
"VHUIYAN DEPARTMENTAL STORE , HOUSE 01 , ROAD 5 , BLOCK B , BANASREE",""
"DHL EXPRESS SERVICE POINT , ROAD -14 B SECTOR 4, UTTARA",""
"FORTIS DOWNTOWN RESORT , TREEMOHONI FOKIRKHALI ROAD , BORO BERAID , 100 FEET ROAD",""
"MOHD. MASUM A B DEPARTMENTAL STORE,CHANDMIYA HOUSING, MOHAMMADPUR",""
"ZAKI MUSHARRAF SKYLINE , H 2 , RD 104 , GULSHAN 1",""
"HOUSE 32 , ROAD 7/C , SECTOR 9 , UTTARA DHAKA",""
"2 , WATER TANK ROAD , SECTION 10 , SECTION 10",""
"ZIYARA TOUR & TRAVELS,MIDDLE BASHABO",""
"STANDARD CHARTED BANK LTD ,GULSHAN AVE , GULSHAN 1",""
"RAINBOW TOWER,NAMAPARA,DHAKA CANTONMENT",""
"H 1308, BEGUM ROKEYA SARANI , EAST MONIPUR",""
"RAJANIGANDHA , H 14/A , LARMINI ST , WARI",""
"BNS  HAJI MOSHIN , SOUTH KAFRUL ROAD , SOUTH KAFRUL , POCHCHIM KAFRUL",""
"UCB BANK , GULSHAN AVE ,. GULSHAN 2",""
"CROSSLINE WOVEN APPARELS LTC , SHARIFPUR , KHALPAR RD , 1711",""
"B 101,ROAD 2,MOHANAGAR HOUSING PROJECT,NIKETAN",""
"SUNDHARBAN COYRIER SERVICE ( PVT ) LTD , 135 , ROAD 13E , BANANI",""
"UNIMART , RESIDENTIAL AREA , DHANMONDI",""
"RD 123, GULSHAN 1",""
"MODERN CONVENTION HALL , MIRPUR CANTONMENT",""
"STATION ROAD BUS STOP STATION ROAD BUS STOP , FOOTOVER BRIDGE , PURBO ARICHPUR , TONGI",""
"MADRASAH ITTAFAQUL UMMAH & RABATUNNESA , WASA RD , EAST BASABO",""
"JARWA HOUSE , RESIDENTIAL AREA , DHANMONDI",""
"BANGABANDHU INTERNATIONAL CONFERENCE CENTER , BEGUM ROKEYA SARANI , SHE E BANGLA NAGAR",""
"BEING HUMAN BANGLADESH  DHANMONDI STORE,BLOCK C,LALMATIA",""
"BRISTY HAIR CUT SALOON , 238/A, SALIM UDDIN MARKET , AHMED NAGAR , SENPARA PARBATA , AHMED NAGAR",""
"IDEB BHABAN , ANJUMAN MUFIDUL ISLAM  RD , KAKRAIL",""
"SALIM AUTO CAR SOLUTION , BISHAW ROAD KURIL",""
"TBHBL-BARAKAH DREAMS , BLOCK I , BASHUNDHARA R/A",""
"MADCHEF AND CHEEZ , SHIDDHESWARI ROAD",""
"PALLABI MOHILA DEGREE COLLEGE",""
"MINISTRY OF FOREIGN AFFAIRS , TOPKHANA RD , SEGUNBAGICHA",""
"SPEEDOZ LIMITED , AMTOLI , MOHAKHALI",""
"JAHANGIR STORE  BUDDHIJIBI SHAHID MINAR RD , GABTALI",""
"DUNIYA , 10 , MITALI HOUSING SPCIETY , SOUTH KAFRUL , PASCHIM KAFRUL",""
"Airport Rail Station",""
"DHAKA INTERNATIONAL TRADE FAIR ( BANIJJO MELA), SECTOR 4 , PURBACHAL",""
"REMIX COLLECTIONS LIMITED,  GAREEB E NAWAZ AVENUE,  SECTOR 13,  UTTARA",""
"KAMALAPUR RAILWAY STATION, KAMALAPUR",""
"BUT VILLA , H 92-93, KALABAGAN 2ND LN , KALABAGAN",""
"BAHAR HARDWARE & PAINT STORE , H 1/5 , SAT MASJID RD , BLOCK D , LALMATIA",""
"NAGAR FASHION , NEW ESKATON",""
"house 1 , road 4 sector 5 , uttara",""
"KING'S RESTAURANT , AVENUE 1 , SECTION 2",""
"KITCHEN EXPRESS , EIDGAH MATT , SONY HALL , MIRPUR 1",""
"D-MART ARAMBAGH MOTIJHEEL",""
"ICON PET CARE AND VETERINARY CLINIC",""
"SHADHONA  OUSODALOY H 71 72, DINATH SEN RD , GENDARIA",""
"DDL ROKEYA MANJIL,PALASH NAGAR,MIRPUR 11",""
"BASUNDHARA D BLOCL,ROAD,BLOCK D,BASUNDHARA R/A",""
"BKSP , ZIRANI , SAVAR",""
"HOTEL BLUE CASTLE SECTOR 1 , UTTARA",""
"PREMIUM SWEETS,GULSHAN 2,GULSHAN",""
"NRBC BANK BASHUNDHAAR , BLOCK D , BASHUNDHARA R/A",""
"HOTHAT MARKET , DHAKA CITY BYPASS , RAYERDIA , RUPGANJ , NARAYANGANJ",""
"ZAIFA COSMETICS , MOHAKHALI DOHS",""
"ASSORT NAMEER,8/I,ROAD  NO 2,
BLOCK D,BASHUNDHARA R/A",""
"BTI THREE , GULSHAN 2 , GULSHAN",""
"LUXURY RENT A CAR BASHUNDHARA , BLOCK D , BASHUNDHARA R/A",""
"CHILLOX UTTARA ,S ECTOR 11",""
"PURBO NAMAPARA PANIR PUMP CIRCLE , KABARSTHAN RD",""
"EOBHOG HAZI UZIR ALI HIGH SCHOOL , SHAHID KHOKHON BISWAS BABURAIL RD , FATULLAH , NARAYANGANJ, 1400",""
"LUBNA'S , 648 , I BLOCK ROAD 10 , BLOCK D , BASUNDHARA R/A",""
"DHAKA INTERNATIONAL TRADE FAIR ( BANIJJO MELA ) , SECTOR 4 , PURBACHAL",""
"BIRD BAZAR  , SENPARA PARBATA , SENPARA PARBATA  , SECTION 13",""
"GLAMOUR WORLD,BLOCK A,MIRPUR 10",""
"PALMYRA , 317 , ROAD NO 14, BLOCK A , BASUNDHARA R/A",""
"DANIA UNIVERSITY COLLEGE , DHAKA CHITTAGONG HIGHWAY , DANIA , JATRABARI",""
"POPULAR DIAGONISTIC CENTRE,DHANMONDI,ROAD 2,DHANMONDI R/A",""
"URBAN SHAH RASTI HOUSE,RESIDENTIAL AREA,DHANMONDI",""
"URBAN TOPAZ , H 19/A , RD 23 , BANANI",""
"ENGINEER BD NETWORK , ROAD 81 , GULSHAN NORTH AVENUE , GULSHAN 2",""
"cafe z , rd 12b , rasdia mouza , uttara",""
"UNIMART RD 90 , GULSHAN 2",""
"SHEIKH RUSSEL NATIONAL GASTROLIVER INSTITUTE & HOSPITAL,TB GATE ROAD,MOHAKHALI",""
"GREEN HOUSE , 25/C, D J , GREEN ROAD , DHANMONDI R/A , HAZARIBAGH",""
"MAZIDPUR ROAD , SAVAR",""
"THE SLOW STUDIO, HOUSE 2198, ROAD 20 , BLOCK L , BASHUDNHARA R/A",""
"JK FOREIGN BRANDS , BLOCK E , BANANI",""
"CINNABON , BORO MOGHBAZAR",""
"DHAKA INTERNATIONAL TRADE FAIR (BANIJJO MELA ) , SECTOR 4 , PURBACHAL",""
"CITY BANK,GULSHAN AVENUE,GULSHAN 1,GULSHAN",""
"HASNA HENA , 48 , GIRLS SCHOOL ROAD , DHANMONDI",""
"ASAD MONJIL , HOUSE 409, NSU DRIVEWAY , BLOCK B , BASHUDNHARA R/A",""
"HEMAYETPUR BUS STOP, DHAKA ARICHA HIGHWAY , BILAMALIA, JADUR CHAR",""
"H 26/9/A, RD 18 , TILAPARA , KHILGAON",""
"PC CULTURE HOUSING WATER PUMP , RD 11 , SHEKHERTEK , PC CULTURE HOUSING SOCIETY , ADABOR",""
"HAZRAT SHAHJALAL INTERNATIONA AIRPORT",""
"MEDINOVA MEDICAL SERVICES , RD 5A , DHANMONDI",""
"SEGUN BAGICHA KACHA BAZAR,SYED NAZRUL ISLAM SARANI,NAYA PALTAN",""
"ITEM CRAFTS, ROAD 4 , SECTOR 11, UTTARA",""
"BANGABANDHU MILITARY MUSEUM , BIJOY SARANI , DHAKA",""
"HAQUE ENGINEERING , SHAHID SARAK , DHAKA CANTONMENT",""
"155/A,BLOCK ROAD 7, BASUNDHARA R/A",""
"BANGLADESH MOHILA SOMITI , NEW BAILY ROAD , WIRELESS , PALTAN",""
"NATIONAL INSTITURE OF NEUROSCIENCES HOSPITAL,SHAHID SHAHABUDDIN RD,AGARGAON",""
"HOUSE 16,ROAD 07,SECTOR 13,UTTARA",""
"SENAPRANGAN, MATIKATA ROAD , ACNTONMENT , DHAKA CANTONMENT",""
"CSD TESS RESTAURANT , POST OFFICE DHAKA CANTONMENT",""
"GABTOLI GORUR HAT PUBLIC, TOILET , GABTALI , MIRPUR",""
"H 180/6/13/C , RD 13 , SOUTH BANASHREE PROJECT , RAMPURA",""
"MIZAN JAME MASJID,60 FEET RD,AGARGAON",""
"ADABOR 11 , BONDHON 711/3 , ADABAR , MOHAMMADPUR",""
"ABAKASH SECTOR 11, UTTARA",""
"KARIM DELIGHT , H 229 , OUTER CIRCULAR RD , MOGBAZAR",""
"BAITUL AMAN  CHAIRMAN BARI JAME  MASJID",""
"FANTASIUM, GULSHAN AVENUE , GULSHAN 2, GULSHAN",""
"S.R TRAVELS , SECTOR 7 , UTTARA",""
"NAJIRA BAJAR,BORO MOGHBAZAR",""
"HOMEOPATHIC FOUNDATION HOSPITAL& RESEARCH CENTER, KAZIPARA, MIRPUR 10",""
"CORNEA MEDICAL & NURSING COACHING CENTER , FARMGATE , TEJGAON",""
"H 49 , DINANATH SEN RD , GENDARIA",""
"DOSA EXPRESS DHANMONDI , WEST",""
"SWARNA KANON JEWELLERS , GREEN ROAD , PANTHAPATH",""
"AIRPORT RENT A CAR SERVICE , HAZRAT SHAHJALAL INTERNATIONAL AIRPORT , KURMITOLA",""
"AQB BANK ATM , LAKE DRIVE ROAD , SECTOR 7 UTTARA , DHAKA",""
"SPORTS GRILL , PLOT 18/K , ROAD 9 , BLOCK G , BASHUNDHARA",""
"BANGLADESH EYE HOSPITAL BANANI , KAMAL ATATRUK AVENUE , BLOCK C , BANANI",""
"ELOMELO INTERIOR , SECTOR 13, UTTARA",""
"AIPORT RENT A CAR SERVICE , HJAZRAT SHAHJALAL INTERNATIONAL AIRPORT KURMITOLA",""
"PGCB RD , MERUL BADDA",""
"AL AMIN HOUSE, H 8,RD 1 ,BLOCK A,BANASHREE",""
"DHAKA FSHION, H 6 , MIRPUR RD , NEW MARKET",""
"POLASH NAGAR JAME MASJID,PALASH NAGAR,MIRPUR 11",""
"MURUBBI , TEA STALL , AGARGAON , MIRPUR",""
"BITHIKA , H 41 /48/49, HER E BANGLA RD , MOHAMMADI HOUSING LTD , MOHAMMADPUR",""
"CAMELIA 1,392,SAYEM SOBHAN ANVIR ROAD,BLOCK C, BASUNDHARA R/A",""
"AMIR COMPLEX , SECTOR 3, UTTARA",""
"JAHAN MANZIL , MIR HAZARIBAGH , JATRABARI",""
"BRAHMANDI , ARAIHAZAR , NARYANGANJ",""
"TALISMAN LTD ( UNIT 1 & 2) , BEPZA ROAD , DHAKA NEW EPZ , NOBINAGAR",""
"ANSARI CAMP MADRASHA ROAD KORAIL MOHAKHALI",""
"LABONI 1 , HOUSE 24 , ROAD 9/A , DHANMONDI 1209",""
"GOLDEN BIRIYANI , RD 2, SECTOR 6 , UTTARA",""
"OCDDR , B , MOHAKHALI",""
"ANZAAR BANANI OUTLET , BANANI SUPER MARKET , KAMAL ATATURK AVENUE , BLOCK D , BANANI",""
"ANSAR ALI STORE , EAST BASHABO",""
"43/A, ROAD 6A , DHANMONDI R/A",""
"RD 23 , RUPNAGAR R/A , PALLABI",""
"SATTAR VILLA SECTOR 15 UTTARA",""
"AGRADUT BIDDYANIKETAN HIGH SCHOOL DHAKA CHITTAGAON HIGHWAY , SONTEK , JATRABARI",""
"SOUL TIMES,RESIDENTIAL AREA,DHANMONDI",""
"UTTARA SECTOR 10",""
"SHAWPNOPURI , 197 , SARAK 6 1 , BASUNDHARA R/A",""
"ZAM ZAM TOWER,SPNARGAON JANAPATH ROADD,SECTOR 13,UTTARA",""
"RD 6 , SECTOR 3 , UTTARA",""
"TOPIA SHARUBA,280,D BLOCK 9 NO ROAD,BLOCK D,BASUNDHARA R/A",""
"H 25 , RD 3, BLOCK D , BANASREE",""
"VATAX HAIR,SECTOR 12,UTTARA",""
"ASSET DEVELOPMENT & HOLDING LIMITED , HOUSE 08 , ROSD 137 , GULSHAN 1",""
"HOUSE 248 , ROAD 6B , BLOCK B , BASHUDNHARA R/A",""
"EYEDOL,RUPNAGAR RESIDENTIAL AREA,MIRPUR",""
"ROAD 1 SECTOR 1 BLOCK F HOUSE 28 AFTABNAGAR",""
"1044,MASTER PARA ROAD,SENPARA PARBATA,BOROBAGH",""
"NAVANA GARDEN , MUKTI HOUSING , KALLYANPUR",""
"SECTOR 13",""
"APEL TELECOM , H 68 , BEGUM ROKEYA SARANI , BLOCK B , MIRPUR 12",""
"TAISHA'S PALACE HERITAGE SKY VIEW , 15/11, RD 1, KALLYANPUR , DHAKA",""
"GULSHAN SHOOTING CLUB , GULSHAN 1",""
"SOLPONOGOR PROKOLPO,JATIYO GRIHAYON KORTRIPOKKHO",""
"DARK HOUSE CAFE , SOUTH BADDA JAME MOSJID ,MANIK MIYA GARAGE",""
"SONAR TORI TOWER,BIR UTTAM CR DATTA RD,HATIRPOOL",""
"SHANTA FORUM , 187, BIR UTTAM MIR SHAWKAT SARAK , DHAKA - 1208",""
"BOF GOLF COURSE , SHIMULTOLY RD , 1702",""
"CERAMIC AVE CIRCLE,BLOCK A,MIRPUR 12",""
"SORNALI GARDEN , 18 , SECTION 10",""
"KAMALAPUR INLAND CONTAINER DEPOT (ICD) KOMLAPUR",""
"LALMATIA KAZI OFFICE,H 5/3,ZAKIR HOSSAIN RD,BLOCK F,MOHAMMADPUR",""
"WHITE PALACE HOTEL , ROAD 06, SECTOR 9 , UTTARA",""
"H  38/B , LICHU BAGAN RD , JOAR SHAHARA",""
"AQUA WORLD HOUSE 96 , SHAMIBAGH ROAD , SECTION 2 , MIRPUR , DHAKA 1216",""
"SHAHI MITHAI,H 27,NAZIMUDDIN RD,BEGUM BAZAR,CHAWKBAZAR",""
"SHIP INTERNATIONAL HOSPITAL , BHATULIYA , TURAG",""
"BONGO ASAD GLORY , SOUTH BANASREE",""
"RAJUK MOHAKHALI ZONAL OFFICE,RD 2,BANANI",""
"RETINA GLAUCOMA CENTER & SUPERSPECIALITY EYE HOSPITAL , RAJABAZAR , PANTHAPATH",""
"CONCORD EXPRESS,KAMAL ATATURK AVENUE,GULSHAN 2,GULSHAN",""
"PIZZA MOHOL , ROAD 8 , SECTOR 11 ,UTTARA",""
"RIFAT PHARMACY , 52 , ROAD NUMBER 12 , PISCICULTURE HOUSING SOCIETY , ABDUL RAFIQ HOUSING , ADABAR",""
"BRAC UNIVERSITY (NEW CAMPUS ) , DIT RD , MERUL BADDA",""
"DHANMONDI FOOT OVER BRIDGE",""
"EXCELSIOR CONCORD,HOUSE 20,ROAD 55,GULSHAN 2,GULSHAN",""
"JOYANAGAR GOVT. OFFICERS APARTMENT COMPLEX , MIRPUR 13",""
"TASTE N BEST , ROAD 10 , BLOCK D , NIKETON",""
"THE FOOD HALL,SABRINA SOBHAN 4TH AVENUE ROAD,BLOCK D,BASUNDHARA R/A",""
"SQUARE CENTER , 48 , BIR UTTAM A.K. KHANDAKAR ROAD , MOHAKHALI , GULSHAN",""
"FOKIR MARKET , BORO DEWRA RD, WEST ARCHIPUR, RUSTAMPUR","(23.09877, 90.78926)"
"BAF SHAHEEN COLLEGE,KURMITOLA RD,DHAKA CANTONMENT",""
"UNIVERSITY OF PROFESSIONALS ICT HOSTEL , RD 5 , MIRPUR DOHS",""
"ROCK GARDEN -AS'CASTLE  , BLOCK B , MIRPUR 2",""
"BANGLADESH SOCHIBALOY BHABAN,SECRETARIAT RD,RAMNA",""
"DR SHARIFS HOMEOPATHIC CENTER,SECTOR 13,UTTARA",""
"MOKTAR BARI RD",""
"THE GRAND PALACE CONVETION HALL,BARUA,KHILKHET",""
"MIZAN GENERAL STORE , RESIDENTIAL AREA , DHANMONDI",""
"INDEPENDENT UNIVERSITY BANGLADESH (IUB), BASUNDHARA R/A",""
"MATIKATA",""
"LUNA BD,BLOCK D,BANASREE",""
"MOSJID A KAWSER GIRIDHARA SADDAM MARKET",""
"UTTARA FINANCE AND INVESMENTS LIMITED , SAECTOR 15",""
"HOUSE 41,ROAD 13,SECTOR 13,UTTARA",""
"UNIQUE DIAGNOSTIC CENTER , GREEN ROAD, DHANMONDI",""
"RUPSHI NORTH BOUND BUS STOP",""
"CONCEPTUM 3G , GULSHAN 2 , GULSHAN",""
"CONCORD NUSRAT , 77, ROAD 12A , DHANMONDI R/A",""
"H 52/A , CENTRAL RD , DHANMONDI",""
"DOM-INNO PIOGGIA , MALIBAGH RAIL GATE , MALIBAGH",""
"PLOT 228 , RD 2 , BLOCK B , BASHUNDHARA R/A",""
"LONDON INTERNATIONAL SCHOOL , ROAD 1 , BLOCK A , GULSHAN 1 , GULSHAN",""
"PEARL HOTEL , BLOCK K , BNANANI",""
"H 337, ALHAZ ABDUS SOBHAN RD , BLOCK B , BASHUNDHARA R/A",""
"LALMATIA WOMESN'S COLLEGE ZAKIR HOSSAIN RD BLOCK E LALMATIA",""
"BLACK , JAHANGIR GATE , MOHAKHALI",""
"ROAD NO 5 , BLOCK A ,BASUNDHARA R/A",""
"ANSAR CAMP BUS STOP , ANSAR CAMP ROAD , MUKSI HOUSING , AHMED NAGAE",""
"HVCIN DOLON CHAPA , DHAKA UDDAN , MOHAMMADPUR",""
"NAZUMUDDIN VILLA , KAWLA , DAKKHINKHAN",""
"SHILPI HOTEL GOLI,SHOHIDBAG",""
"SHAHJALAL ISLAMI BANK LTD , MIRPUR ROAD , DHANMONDI",""
"ROAD NO . 2 , MOHAMMADI HOUSING LIMITED , MOHAMMADPUR",""
"tilapara jame masjid , tilapara rd ,, tilapara , khilgaon",""
"TWELVE 30 CAFE, SECTOR 3, UTTARA",""
"KURMITOLA GENERAL HOSPITAL , TONGI DIVERSION ROAD , DHAKA, BANGLADESH",""
"SHIITAKE,ROAD 2,DHANMONDI",""
"HOUSE 52,ROAD 10,SECTOR  6,UTTARA",""
"UNITIK IT , SECTOR 9 , UTTARA",""
"H 349/2,DILU RD,NEW ESKATON",""
"BHAI BHAI ENGINEERING WORKS,178/2MOMIN SORONI,UTTOR KAFRUL,PURBA KAZIPARA",""
"MY CHOICE DAILY SHOPPING , H 330 , SHANKAR JAFRABAD RD , JAFRABAD , WEST DHANMONDI",""
"AVENUE  6 , MIRPUR DOHS , MIRPUR 12",""
"HOME,UTTOR BISHIL,MIRPUR 1",""
"ARAFAT PHARMACY , SECTOR 15 , UTTARA",""
"M BLOCK BANASREE , BLOCK M",""
"KOHINUIR GENERAL STORE ,H 2/2, MIRPUR RD, LALMATIA",""
"chaap hut restaurant college rd",""
"ARMY GOLF CLUB ENTRANCE , NIKUNJA 1 , BARIDHARA",""
"RD 1,KALLYANPUR",""
"COMPANION CARE CLINIC",""
"BANK ASIA , GULSHAN BRANCH , BAY'S GALLERIA , GULSHAN AVENUE , GULSHAN 1",""
"LUBANA GENERAL HOSPITAL & UTTARA CARDIAC SENTER , GARIB E NEWAZ AVE , SECTOR 13 , UTTARA",""
"PLATINUM GRAND,BLOCK F,BANANI",""
"THE VAPIANOO CAFE , SATMASJID RD , JIGATOLA",""
"GEOTRADE,MOHAMMADIA HOUSING SOCIETY,MOHAMMADPUR",""
"LAUNDRY PHONE , H 617 , RED CRESCENT RD , MOGBAZAR",""
"ASSURE SOUTH CASTLE , RD 3 , AFTAB NAGAR PROJECT , BADDA",""
"GLORIA JEANS COFFEE,ROAD 71,GULSHAN 2,GULSHAN",""
"SAGAR OPTICS , SHYAMOLI , MOHAMMADPUR",""
"HAZRAT SHAHJALLA INTERNATIONAL AIRPORT",""
"SIGNBOARD BUS STOP,DHAKA CHITTAGONG HIGHWAY,SIGNBOARD,SIDDHIRGANJ,NARAYANGANJ",""
"FIROZ STORE , POSTOGOLA , SHYAMPUR",""
"PROJECT BANANI 18 , BLOCK B",""
"POPULAR HOSPITAL , DHANMONDI ROAD 12 , DHANMONDI R/A",""
"BISMILLAH BIRIYANI HOUSE , SECTOR 14 , UTTARA",""
"UNITY MASSAGE SPA GULSHAN DHAKA , GULSHAN 2",""
"LAND REGISTRATION OFFICE , SHAHID TAZUDDIN  AHMED AVE , TEJGAON INDUSTRIAL AREA",""
"MISSION PARA JAME MASJID,NORTH CHASHARA,NARAYANGANJ SADAR,NARAYANGANJ,1400",""
"238/A,SALIM UDDIN MARKET,AHMED NAGAR,SENPARA PARBATA,AHMED NAGAR",""
"BISHMILLAH PHARMACY , MONIPUR , MIRPUR",""
"HASNAHENA , HOUSE 350/A, ROAD 9 , BLOCK C, BASHUNDHARA R/A",""
"APOLLO HOSPITAL, SAYEM SOBHAN ANVIR ROAD , BLOCK D, BASHUNDHARA R/A",""
"RAJONIGANDHA (SAAJAN),BLOCK F,
BASUNDHARA R/A",""
"BANGABANDHU SHEIKH MOJID MEDICAL UNIVERSITY,PG HOSPITAL,BLOCK C,HABIBULLAH RD,SHAHBAG",""
"FOUNTAIN,BLOCK B,BASUNDHARA R/A",""
"HAZRAT SHAHJALAL INTERNATIONAL AIRPORT AIRP[ORT ROAD NEW AiRPORT ROAD , KURMITOLA SECTOR 2",""
"HAZRAT SHAHJALAL INTERNATIONAL AIRPORTT",""
"AMZ HOSPITAL , SHADHINOTA SARANI, NORTH BADDA",""
"ASMA MANZIL,H 30,GOPIBAG 3RD LN,GOPIBAG",""
"TALTOLA MARKET , KHILGAON",""
"ROYAL PARK RESIDENCE HOTEL , BLOCK A , BANANI",""
"RD 3,SECTOR 12,UTTARA",""
"H 707,H 708,RD 11,ADABOR",""
"157 , SARAK 8 1 , BASUNDHARA R/A",""
"CMS BUS STOP , SHAHID SARANI , DHAKA CANTONMENT",""
"NABIN HEIGHTS,H 488,RD 16,BLOCK F, BASHUNDARA R/A",""
"MUTUAL TRUST BANK , AIRPORT ROAD , NEW AIRPORT ROAD , KURMITOLA , SECTOR 2",""
"KORATITOLA , KORATITOLA , DAYAGANJ",""
"BAMOLI BAZAR DEMRA",""
"JUWEL MOTORBIKE SERVICE , MONESHWAR ROAD , DHANMONDI",""
"SUPREME , 28 , RAJIA SARAK , ABDUL RAFIQ HOUSING , KALLYANPUR",""
"GREEN JUICE BAR AND FAST FOOD , GREEN ROAD , DHANMONDI",""
"bashundhara residential area , block k , bashunddhara r/a",""
"SUN TOWER , SHIDDHESWARI ROAD",""
"HATEM BAGE JAME MOSQUE, HAZI AFSARUDDIN ROAD , EAST RAYER BAZAR",""
"MOHAMMADPUR RASEL , CIVILAVIATION COLONY , KURMITOLA",""
"BANK ASIA LTD ATM , BIJOY SARANI TEJGAON LINK RD , TEJKUNIPARA",""
"EDI TRIX,ZAFRABAD,MOHAMMADPUR",""
