label,min_x,min_y,max_x,max_y
R22C6,90.38487960909316,23.858084482278443,90.3948716878641,23.867273920911458
R23C6,90.38469824190305,23.86710748157275,90.39469108858087,23.87629697891927
R24C6,90.38451678502118,23.876130468998255,90.39451039996844,23.88532002506404
R25C6,90.38433523842006,23.885153444551236,90.39432962199945,23.894343059342027
R26C6,90.38421502573024,23.894176408227942,90.3941487546465,23.90015053800773
R0C7,90.39864368605846,23.661578872285936,90.4085853433862,23.668927921559366
R1C7,90.39846495639645,23.66876365095225,90.40844041016452,23.677951309719656
R2C7,90.398286137976,23.677786969001364,90.40826235175882,23.686974686108535
R3C7,90.3981072307701,23.686810275269714,90.40808420492763,23.695998050722245
R4C7,90.39792823475169,23.695833569753567,90.40790596964408,23.705021403557055
R5C7,90.39774914989378,23.704856852449172,90.4077276458812,23.714044744609218
R6C7,90.39756997616932,23.713880123352773,90.4075492336121,23.723068073874998
R7C7,90.39739071355122,23.722903382460636,90.40737073280981,23.732091391350647
R8C7,90.3972113620124,23.731926629769006,90.40719214344735,23.74111469703243
R9C7,90.39703192152574,23.740949865274146,90.40701346549774,23.750137990916613
R10C7,90.39685239206413,23.7499730889723,90.40683469893399,23.759161272999453
R11C7,90.39667277360041,23.758996300859753,90.40665584372907,23.768184543277215
R12C7,90.39649306610747,23.768019500932727,90.40647689985592,23.77720780174616
R13C7,90.39631326955806,23.777042689187503,90.4062978672875,23.786231048402556
R14C7,90.39613338392505,23.786065865620333,90.40611874599674,23.795254283242667
R15C7,90.39595340918117,23.79508903022748,90.40593953595652,23.804277506262757
R16C7,90.39577334529923,23.804112183005202,90.40576023713977,23.813300717459104
R17C7,90.39559319225198,23.81313532394976,90.40558084951931,23.822323916827962
R18C7,90.39541295001212,23.822158453057426,90.40540137306803,23.831347104365605
R19C7,90.3952326185524,23.83118157032445,90.40522180775875,23.8403702800683
R20C7,90.39505219784549,23.8402046757471,90.4050421535643,23.849393443932314
R21C7,90.3948716878641,23.84922776932164,90.40486241045745,23.858416595953926
R22C7,90.39469108858087,23.85825085104434,90.40468257841103,23.867439736129402
R23C7,90.39451039996844,23.867273920911458,90.40450265739774,23.876462864455018
R24C7,90.39432962199945,23.87629697891927,90.40432264739039,23.885485980927044
R25C7,90.3941487546465,23.88532002506404,90.40414254836166,23.89450908554175
R26C7,90.39403229591294,23.894343059342027,90.4039623602843,23.900151864474733
R0C8,90.40844041016452,23.661579885812905,90.41838481568396,23.66909157383329
R1C8,90.40826235175882,23.668927921559366,90.41823722266918,23.67811503184103
R2C8,90.40808420492763,23.677951309719656,90.41805983554666,23.687138478086652
R3C8,90.40790596964408,23.686974686108535,90.41788236033166,23.696161912566424
R4C8,90.4077276458812,23.695998050722245,90.41770479699737,23.705185335276607
R5C8,90.4075492336121,23.705021403557055,90.41752714551694,23.71420874621345
R6C8,90.40737073280981,23.714044744609218,90.41734940586359,23.72323214537323
R7C8,90.40719214344735,23.723068073874998,90.41717157801043,23.732255532752216
R8C8,90.40701346549774,23.732091391350647,90.41699366193062,23.74127890834667
R9C8,90.40683469893399,23.74111469703243,90.41681565759724,23.750302272152854
R10C8,90.40665584372907,23.750137990916613,90.41663756498342,23.759325624167044
R11C8,90.40647689985592,23.759161272999453,90.41645938406221,23.768348964385503
R12C8,90.4062978672875,23.768184543277215,90.4162811148067,23.777372292804493
R13C8,90.40611874599674,23.77720780174616,90.4161027571899,23.7863956094203
R14C8,90.40593953595652,23.786231048402556,90.41592431118485,23.79541891422919
R15C8,90.40576023713977,23.795254283242667,90.41574577676458,23.804442207227428
R16C8,90.40558084951931,23.804277506262757,90.41556715390203,23.813465488411286
R17C8,90.40540137306803,23.813300717459104,90.41538844257022,23.822488757777045
R18C8,90.40522180775875,23.822323916827962,90.41520964274208,23.83151201532097
R19C8,90.4050421535643,23.831347104365605,90.41503075439057,23.84053526103934
