location,coordinates,latitude,longitude,grid_label
"BASHBARI JAME MASJID , CHAN MIA HOUSING , BASHBARI RD , MOHAMMADPUR","(23.7659, 90.35851)",23.7659,90.35851,R11C3
jahangirnagar university,"(23.8821271, 90.2669735)",23.8821271,90.2669735,
"BELNA ECO RESORT , KERANIGANJ","(24.75003, 88.07271)",24.75003,88.07271,
"MODHUMITA CINEMA HALL , MOTIJHEEL","(23.7227289, 90.4218654)",23.7227289,90.4218654,R6C9
"POPULAR HOSPITAL,DHANMONDI 2","(23.7392113, 90.3824483)",23.7392113,90.3824483,R8C5
"KACHA BAZAR MAIN RD , NOBODOY HOUSING , MOHAMMADPUR","(23.7659, 90.35851)",23.7659,90.35851,R11C3
"H 7 , NEW ESKATON RD , NEW ESKATON","(23.7472032, 90.3991858)",23.7472032,90.3991858,R9C7
"AMINA , C 59, RD 4, MOHANAGAR HOUSING PROJECT , RAMPURA","(23.76261, 90.42051)",23.76261,90.42051,R11C9
"MOTHERS AND KIDS WORLD , LAKE DRIVE ROAD , SECTOR 7 , UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"LAZZ PHARMA FARMGATE,TEJGAON","(23.7508535, 90.3787285)",23.7508535,90.3787285,R10C5
"MASTERMAIND SCHOOL , ABASHIK ALAKA , DHANMONDI","(23.74, 90.385)",23.74,90.385,R8C5
"TV AKASH DTH , SECTOR 3 , UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"CHETONA MODEL ACADEMY,HAZI RD,MIRPUR 2","(23.805, 90.366)",23.805,90.366,R16C3
"CONFIGURE BEPARI SHOPPING COMPLEX,PRAGOTI SARANI,MIDDLE BADDA","(24.34671, 90.00523)",24.34671,90.00523,
"SARBICK PARIBAHAN LTD,(GABTOLI COUNTER),GABTALI,MIRPUR","(23.805, 90.366)",23.805,90.366,R16C3
"UTTARA CRESENT HOSPITAL , RABINDRA SARANI , SECTOR 3, UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"Matikata Bazar,Matikata Bazar Rd,Matikata","(25.14906, 88.65018)",25.14906,88.65018,
"DESIGN EXPERN BD,EASTERN PALLABI,MIRPUR 11.5","(23.805, 90.366)",23.805,90.366,R16C3
"BRIDGE ROSEN JINNAH,HOUSE 816,ROAD 12,BLOCK I,BASUNDHARA R/A","(38.5, -0.5)",38.5,-0.5,
"RD 1,SECTOR 1,UTTARA","(23.8591667, 90.4055928)",23.8591667,90.4055928,R22C8
"SAKIB BHAU , EASTERN HOUSING , MIRPUR","(23.805, 90.366)",23.805,90.366,R16C3
"H 19 , RD 17 , SECTOR 13 , UTTARA","(23.8715722, 90.3857685)",23.8715722,90.3857685,R23C6
"BM MEDICAL HALL,WEST SHEWRAPARA,MIRPUR","(23.805, 90.366)",23.805,90.366,R16C3
"46, NORTH DHANMONDI ROAD","(23.7522583, 90.3831682)",23.7522583,90.3831682,R10C5
"HOUSE 10,ROAD 13,SECTOR 3,UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"SAYMA BOUTIQUE HOUSE , ADABAR, MOHAMMADPUR","(23.7659, 90.35851)",23.7659,90.35851,R11C3
"MAHANAGAR PROJECT PLAY GROUND , RD 1, MOHANAGAR HOUSING PROJECT , RAMPURA","(23.76261, 90.42051)",23.76261,90.42051,R11C9
H 26  RD 106  GULSHAN 1,"(23.7805185, 90.420013)",23.7805185,90.420013,R13C9
"H 800/A,RD 16,TILPAPARA,KHILGAON","(23.75722, 90.46443)",23.75722,90.46443,R10C13
"554/A, NORTH KAFRUL ROAD , SOUTH KAFRUL , PASCHIM KAFRUL","(23.78822, 90.37359)",23.78822,90.37359,R14C4
"JOYDEBPUR RAILWAY STATION , HOSPITAL RD , 1702","(23.9833, 90.4)",23.9833,90.4,
"HATIRJHEEL LAKE  VIEW POINT 5 , MOGHBAZAR","(23.65, 90.58)",23.65,90.58,
SORGIYO DUTABASH 181/D JAFRANBUG RESIDENTIAL AREA ROAD WIRELESS MOGBAZAR,"(23.7543357, 90.4066209)",23.7543357,90.4066209,R10C7
"HOUSE 11 , ROAD 14 , SECTOR 06 , UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"RD 1, BLOCK B , PALLABI","(23.825, 90.37)",23.825,90.37,R18C4
"SATRASTA ROAD , TEJGAON","(23.7574642, 90.3924211)",23.7574642,90.3924211,R10C6
"SUJON SAKIB GENERAL STORE , ROAD-11 , SECTOR-01 , UTTARA","(23.8667, 90.4)",23.8667,90.4,R22C7
"IBRAHIM MEMORIAL DIABETES CENTER,SHAHBAG,RAMNA","(23.73333, 90.4)",23.73333,90.4,R8C7
"MASFI ENTERPRIZE,EASTERN HOUSING,MIRPUR","(23.805, 90.366)",23.805,90.366,R16C3
