location,coordinates,latitude,longitude,geometry,grid_label
"NEUVE'MI CAFE 7 RESTRO , SECTOR 15 , UTTARA","(23.8667, 90.4)",23.8667,90.4,POINT (90.40000000000002 23.866699999999994),R23C22
"HAFIZ VILLA,NEW OLD 141,SEGUNBAGICHA RD,SEGUNBAGICHA","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"FOOD POINT SHAHID ZIA COLLEGE ROAD,MIRPUR 12","(23.805, 90.366)",23.805,90.366,POINT (90.366 23.804999999999993),R21C21
"RADISSON BLU DHAKA WATER GARDEN, NEW AIRPORT RD, DHAKA CANTONMENT","(23.8160348, 90.4087008)",23.8160348,90.4087008,POINT (90.4087008 23.8160348),R21C22
"AG OFFICE,SEGUNBAGICHA","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"PLOT 134,RD 12,BLOCK G,BASUNDHARA R/A","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"SALMA HERITAGE , 421 , I BLOCK ROAD 4 , BASUNDHARA R/A","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"CHAREU ROWSHON , H 15 , RD 7 , SOUTH BANASREE PROJECT , RAMPURA","(23.76261, 90.42051)",23.76261,90.42051,POINT (90.42051 23.76261),R20C22
"DHAKA RESTAURANTS,H 54,SATMASJID RD,DHANMONDI","(23.74, 90.385)",23.74,90.385,POINT (90.385 23.739999999999995),R20C22
"ALHAJ FAZAR ALI JAME MASJID , ALHAJ FAZAR ALI RD , GAZIPUR","(23.9828351, 90.389539)",23.9828351,90.389539,POINT (90.389539 23.9828351),R25C22
"riazbagh taltola khilgaon 3namvar road , riajbagh","(24.0, 90.0)",24.0,90.0,POINT (90 24),R26C14
"ROAD 19, SECTOR 13","(23.8707176, 90.3857822)",23.8707176,90.3857822,POINT (90.3857822 23.870717599999995),R23C22
"SHOBUJBON NOOR TOWER, DABANOL SHONGSHOD ROAD , EAST RAMPURA , HAJIPARA , DHAKA 1219","(23.7518, 90.4254)",23.7518,90.4254,POINT (90.4254 23.751799999999996),R20C22
"SHUVO VILA,KONABARI","(24.60652, 89.99662)",24.60652,89.99662,POINT (89.99662 24.60652),R39C14
