location,area
"""VAI VAI CYCLE & HARDWARE, RD 8, SHEKHERTEK, MOHAMMADPUR""",Mohammadpur
"""AARONG, LALMATIA""",Lalmatia
"""15/3, MIRERTEK ROAD, WIRELESS, MOGBAZAR""",Moghbazar
"""MNA BARRISTERS & ADVOCATES, SUITE 3B, H 7, RD 33, GULSHAN 1""",Gulshan
"""SHAHJADPUR EAST SOUTH PARA RD, NORTH BADDA""",Badda
"""HOUSE 37, ROAD 5, SECTOR 10, UTTARA""",Uttara
"""UNITED SEED DHAKA, DHAKA ARICHA HIGHWAY, 1347""",Not Classified
"""AFTAB NOGOR MAIN ROAD, BLOCK C, 32 NUMBER BUILDING, 5TH FLOOR OF LIFT""",Aftabnagar
"""GREEN VIEW, 385/4/A/B, FREE SCHOOL STREET, DHANMONDI""",Dhanmondi
"""RANGS MALANCHA, WEST, DHANMONDI""",Dhanmondi
"""H 231, SATARKUL RD, BAWAILA PARA, BADDA""",Badda
"""JANATA SOROK, H 620, RD 19, BLOCK F, BASHUNDHARA R/A""",Bashundhara
"""I CARE COMPUTER SYSTEM, HOUSE 41/2/E/3, HARI CHARAN RAY ROAD, FARIDABAD, GENDARIA, DHAKA 1204""",Gendaria
"""H 366/6, RD 6, BARIDHARA DOHS""",Baridhara
"""NEW JANANI ENGINEERING WORKSHOP, NABI NAGAR HOUSING, MOHAMMADPUR""",Mohammadpur
"""G. PRASANTY, 10, ROAD 3, MUKTI HOUSING, KALLYANPUR""",Kallyanpur
"""AIRPORT ROAD, NEW AIRPORT ROAD, KURMITOLA, SECTOR 2""",Kurmitola
"""SOHRAWARDY AVENUE, BARIDHARA, GULSHAN""",Gulshan
"""27/26, BLOCK D, SHER SHAH SURI ROAD, MOHAMMADPUR""",Mohammadpur
"""POPULAR MEDICAL COLLEGE OUTDOOR, RESIDENTIAL AREA, DHANMONDI""",Dhanmondi
"""JAMIYA DERACHATUL MADRASA, H54, CENTRAL RD, DHANMONDI""",Dhanmondi
"""BANK ALFALAH LIMITED MIRPUR, HOUSE 1, KALSI ROAD, BLOCK D, SECTION 11, MIRPUR, DHAKA 1216""",Mirpur
"""MEDICARE DRUG HOUSE, 433/A, SOUTH PAIKPARA, ROAD 14, BLOCK D, MUKTI HOUSING, DOKKHIN PAIKPARA""",Mirpur
"""UNITED HOSPITAL, RD 72, GULSHAN 2""",Gulshan
"""H D 6, OUTER CIRCULAR RD, AGB COLONY, MOTIJHEEL""",Motijheel
"""BANGLADESH FILM DEVELOPMENT CORPORATION (FDC), KAWRAN BAZAR FDC ROAD, WIRELESS, NEKATAN""",Kawran Bazar
"""AIRPORT MASJID, NEW AIRPORT RD, KAWLA BUS STOP, NEW AIRPORT RD""",Kurmitola
"""BANGLADESH AQUA ZONE, KATABAN ROAD, NIJHUM RESIDENTIAL AREA, HAZARIBAGH""",Hazaribagh
"""KANU LAL MISTANNO BHANDAR, H 105, MUGDAPARA""",Sabujbagh
"""NASRIN VILLA, H 6, MASJIDER GOLI, ADABOR""",Adabor
"""NILIMA LADIES TAILORS, H 34, RD 4, DHANMONDI""",Dhanmondi
"""HOMEOPATHIC FOUNDATION HOSPITAL & RESEARCH CENTER, KAZIPARA, MIRPUR 10""",Mirpur
"""H 26/11, TAJMAHAL RD, MOHAMMADPUR""",Mohammadpur
"""SABBIR TEA STORE, BOSILA, MOHAMMADPUR""",Mohammadpur
"""RONY TELECOM, MOSQUE ROAD 2, KORAIL, MOHAKHALI""",Mohakhali
"""IFIC BANK LIMITED (RAYER BAZAR SUB-BRANCH), RAYER BAZAR, MOHAMMADPUR""",Mohammadpur
"""HSBC BANK ATM, WEST DHANMONDI""",Dhanmondi
"""SALMAN, POLICE BOX, BEGUM ROKEYA SHARANI, WEST KAFRUL, PURBA KAZIPARA""",Mirpur
"""H 480, SHAHID BAKI SARAK, TALTOLA, KHILGAON""",Khilgaon
